,0,1,2,3,4,5,6,7
0,0.0,41.0,0.0,0.0,0.0,50.0,0.0,18.0
1,0.0,41.0,0.0,0.0,0.0,50.0,0.0,18.0
2,0.0,41.0,0.0,0.0,0.0,50.0,0.0,18.0
3,0.0,41.0,0.0,0.0,0.0,50.0,0.0,18.0
4,0.0,41.0,0.0,52.0,0.0,50.0,0.0,18.0
5,0.0,41.0,0.0,0.0,0.0,50.0,0.0,18.0
6,0.0,41.0,0.0,0.0,0.0,50.0,0.0,18.0
7,0.0,41.0,0.0,5.0,0.0,50.0,0.0,18.0
8,0.0,41.0,0.0,0.0,0.0,0.0,0.0,15.0
9,0.0,41.0,0.0,35.0,0.0,20.0,0.0,24.0
10,0.0,41.0,0.0,0.0,0.0,35.0,0.0,5.0
11,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
13,0.0,41.0,0.0,26.0,0.0,4.0,0.0,15.0
14,0.0,41.0,0.0,0.0,0.0,0.0,0.0,46.0
15,0.0,41.0,0.0,0.0,0.0,0.0,0.0,29.0
16,0.0,41.0,0.0,0.0,0.0,38.0,0.0,5.0
17,0.0,41.0,0.0,25.0,0.0,29.0,0.0,24.0
18,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
19,0.0,41.0,0.0,38.0,0.0,0.0,0.0,24.0
20,0.0,41.0,0.0,0.0,0.0,0.0,0.0,9.0
21,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
22,0.0,41.0,0.0,35.0,0.0,38.0,0.0,24.0
23,0.0,41.0,0.0,32.0,0.0,0.0,0.0,24.0
24,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
25,0.0,41.0,0.0,0.0,0.0,52.0,0.0,24.0
26,0.0,41.0,0.0,52.0,0.0,17.0,0.0,24.0
27,0.0,41.0,0.0,35.0,0.0,0.0,0.0,24.0
28,0.0,41.0,0.0,0.0,0.0,0.0,0.0,7.0
29,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
30,0.0,41.0,0.0,52.0,0.0,0.0,0.0,0.0
31,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
33,0.0,41.0,0.0,35.0,0.0,5.0,0.0,0.0
34,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
35,0.0,41.0,0.0,0.0,0.0,47.0,0.0,0.0
36,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
37,0.0,41.0,0.0,0.0,0.0,52.0,0.0,24.0
38,0.0,41.0,0.0,0.0,0.0,5.0,0.0,45.0
39,0.0,41.0,0.0,0.0,0.0,0.0,0.0,24.0
40,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0
41,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,11.0,0.0,0.0,0.0,2.0,0.0,24.0
43,0.0,11.0,0.0,11.0,0.0,0.0,0.0,41.0
44,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0
45,0.0,0.0,0.0,23.0,0.0,0.0,0.0,24.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
47,0.0,52.0,0.0,52.0,0.0,0.0,0.0,24.0
48,5.0,0.0,5.0,41.0,5.0,0.0,5.0,24.0
49,5.0,32.0,5.0,0.0,5.0,52.0,5.0,24.0
50,5.0,0.0,5.0,8.0,5.0,0.0,5.0,0.0
51,5.0,0.0,5.0,0.0,5.0,0.0,5.0,24.0
52,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
53,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
54,5.0,0.0,5.0,35.0,5.0,50.0,5.0,0.0
55,5.0,0.0,5.0,49.0,5.0,52.0,5.0,0.0
56,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0
57,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
58,14.0,0.0,14.0,0.0,14.0,0.0,14.0,14.0
59,14.0,0.0,14.0,0.0,14.0,26.0,14.0,0.0
60,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0
61,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0
62,14.0,0.0,14.0,4.0,14.0,47.0,14.0,0.0
63,14.0,0.0,14.0,0.0,14.0,11.0,14.0,0.0
64,14.0,52.0,14.0,0.0,14.0,0.0,14.0,49.0
65,14.0,15.0,14.0,0.0,14.0,0.0,14.0,24.0
66,14.0,0.0,14.0,5.0,14.0,0.0,14.0,0.0
67,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
69,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,52.0,0.0,24.0
72,0.0,23.0,0.0,0.0,0.0,0.0,0.0,24.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
74,0.0,49.0,0.0,44.0,0.0,0.0,0.0,24.0
75,0.0,11.0,0.0,52.0,0.0,52.0,0.0,24.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
78,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
79,0.0,52.0,0.0,41.0,0.0,0.0,0.0,24.0
80,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
81,0.0,38.0,0.0,0.0,0.0,52.0,0.0,5.0
82,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,52.0,0.0,0.0,0.0,24.0
84,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
85,0.0,52.0,0.0,4.0,0.0,0.0,0.0,24.0
86,0.0,14.0,0.0,11.0,0.0,52.0,0.0,21.0
87,0.0,16.0,0.0,0.0,0.0,41.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
89,0.0,5.0,0.0,23.0,0.0,0.0,0.0,24.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
91,5.0,0.0,5.0,0.0,5.0,52.0,5.0,24.0
92,0.0,0.0,0.0,0.0,0.0,52.0,0.0,24.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
94,0.0,0.0,0.0,5.0,0.0,52.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
98,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
100,0.0,0.0,0.0,49.0,0.0,23.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,44.0,0.0,5.0,0.0,25.0,0.0,29.0
104,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
105,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
110,0.0,0.0,0.0,0.0,0.0,52.0,0.0,24.0
111,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
113,0.0,52.0,0.0,0.0,0.0,52.0,0.0,29.0
114,0.0,0.0,0.0,0.0,0.0,11.0,0.0,24.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
116,0.0,0.0,0.0,0.0,0.0,17.0,0.0,24.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
118,0.0,5.0,0.0,32.0,0.0,14.0,0.0,0.0
119,0.0,0.0,0.0,52.0,0.0,0.0,0.0,24.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
121,0.0,52.0,0.0,52.0,0.0,0.0,0.0,24.0
122,0.0,0.0,0.0,29.0,0.0,0.0,0.0,24.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
124,0.0,0.0,0.0,0.0,0.0,20.0,0.0,24.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
130,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0
132,0.0,0.0,0.0,11.0,0.0,0.0,0.0,24.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
138,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
140,0.0,0.0,0.0,49.0,0.0,52.0,0.0,0.0
141,0.0,0.0,0.0,14.0,0.0,0.0,0.0,24.0
142,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,52.0,0.0,5.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,52.0,0.0,24.0
146,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0
148,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
153,0.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
