,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0,284.0,0.0,315.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,224.0,0.0,0.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,278.0
1,0.0,284.0,0.0,315.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,224.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,72.0,0.0,246.0,0.0,352.0,0.0,278.0
2,0.0,284.0,0.0,315.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,167.0,0.0,144.0,0.0,107.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,278.0
3,0.0,284.0,0.0,315.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,177.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,278.0
4,0.0,284.0,0.0,315.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,28.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,278.0
5,0.0,284.0,0.0,315.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,176.0,0.0,218.0,0.0,246.0,0.0,352.0,0.0,315.0
6,0.0,284.0,0.0,244.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,189.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,278.0
7,0.0,284.0,0.0,244.0,0.0,112.0,0.0,318.0,0.0,321.0,0.0,315.0,0.0,10.0,0.0,129.0,0.0,127.0,0.0,166.0,0.0,127.0,0.0,201.0,0.0,127.0,0.0,188.0,0.0,74.0,0.0,188.0,0.0,188.0,0.0,228.0,0.0,188.0,0.0,188.0,0.0,29.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,277.0
8,0.0,284.0,0.0,244.0,0.0,315.0,0.0,315.0,0.0,315.0,0.0,315.0,0.0,0.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,188.0,0.0,154.0,0.0,188.0,0.0,188.0,0.0,193.0,0.0,188.0,0.0,188.0,0.0,281.0,0.0,281.0,0.0,278.0,0.0,315.0,0.0,144.0,0.0,182.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,283.0,0.0,352.0,0.0,278.0
9,0.0,284.0,0.0,244.0,0.0,315.0,0.0,315.0,0.0,315.0,0.0,281.0,0.0,0.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,127.0,0.0,188.0,0.0,189.0,0.0,188.0,0.0,188.0,0.0,193.0,0.0,188.0,0.0,188.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,315.0,0.0,144.0,0.0,144.0,0.0,144.0,0.0,241.0,0.0,241.0,0.0,246.0,0.0,352.0,0.0,278.0
