,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,828.0,552.0,920.0,552.0,0.0,552.0,396.0,552.0,828.0,552.0,396.0,552.0,65.0,552.0,368.0,552.0,74.0,552.0,1564.0,552.0,203.0,552.0,258.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,712.0,552.0,534.0,552.0,415.0,552.0,267.0
1,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,0.0,552.0,264.0,552.0,276.0,552.0,276.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,0.0,552.0,276.0,552.0,370.0,552.0,0.0,552.0,0.0,552.0,164.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,498.0,552.0,415.0,552.0,267.0
2,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,828.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,0.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,368.0,552.0,666.0,552.0,148.0,552.0,0.0,552.0,276.0,552.0,890.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,83.0,552.0,415.0,552.0,460.0
3,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,176.0,552.0,264.0,552.0,460.0,552.0,920.0,552.0,220.0,552.0,396.0,552.0,396.0,552.0,1656.0,552.0,0.0,552.0,178.0,552.0,0.0,552.0,1472.0,552.0,148.0,552.0,814.0,552.0,740.0,552.0,148.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,83.0,552.0,415.0,552.0,267.0
4,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,308.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,142.0,552.0,264.0,552.0,460.0,552.0,0.0,552.0,264.0,552.0,308.0,552.0,396.0,552.0,396.0,552.0,92.0,552.0,0.0,552.0,267.0,552.0,0.0,552.0,962.0,552.0,0.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,415.0,552.0,415.0,552.0,267.0
5,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,0.0,552.0,264.0,552.0,460.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,77.0,552.0,396.0,552.0,539.0,552.0,50.0,552.0,1036.0,552.0,74.0,552.0,92.0,552.0,74.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,83.0,552.0,83.0,552.0,267.0
6,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,76.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,518.0,552.0,623.0,552.0,592.0,552.0,80.0,552.0,0.0,552.0,592.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,53.0,552.0,83.0,552.0,83.0,552.0,267.0
7,552.0,1288.0,552.0,1288.0,552.0,712.0,552.0,396.0,552.0,44.0,552.0,712.0,552.0,89.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,408.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,176.0,552.0,396.0,552.0,220.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,148.0,552.0,148.0,552.0,740.0,552.0,0.0,552.0,0.0,552.0,267.0,552.0,89.0,552.0,664.0,552.0,83.0,552.0,267.0
8,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,801.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,222.0,552.0,666.0,552.0,74.0,552.0,74.0,552.0,2.0,552.0,516.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,86.0,552.0,83.0,552.0,267.0
9,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,814.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,318.0,552.0,0.0,552.0,0.0,552.0,592.0,552.0,518.0,552.0,59.0,552.0,296.0,552.0,444.0,552.0,0.0,552.0,267.0,552.0,89.0,552.0,344.0,552.0,83.0,552.0,267.0
