,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,184.0,552.0,0.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
1,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,552.0,552.0,460.0,552.0,1564.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,267.0,552.0,92.0,552.0,552.0,552.0,89.0,552.0,1840.0
2,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,0.0,552.0,1958.0,552.0,552.0,552.0,1840.0,552.0,1472.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,276.0,552.0,712.0,552.0,1840.0
3,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,518.0,552.0,500.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,178.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,0.0,552.0,552.0,552.0,1840.0
4,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
5,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,460.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
6,552.0,178.0,552.0,552.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,92.0,552.0,1564.0,552.0,0.0,552.0,552.0,552.0,276.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,2116.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,979.0,552.0,1840.0
7,552.0,178.0,552.0,712.0,552.0,1288.0,552.0,1656.0,552.0,1840.0,552.0,89.0,552.0,1958.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,0.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
8,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1104.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,0.0,552.0,92.0,552.0,828.0,552.0,178.0,552.0,1840.0
9,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,74.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,1104.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,89.0,552.0,828.0
10,552.0,178.0,552.0,89.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
11,552.0,178.0,552.0,534.0,552.0,616.0,552.0,92.0,552.0,1288.0,552.0,267.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
12,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,92.0,552.0,712.0,552.0,1748.0
13,552.0,178.0,552.0,736.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,1748.0,552.0,552.0,552.0,368.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
