,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,20.0,368.0,296.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,0.0,368.0,213.0,368.0,249.0,368.0,0.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,0.0,368.0,71.0,368.0,71.0
1,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,368.0,368.0,368.0,368.0,71.0,368.0,71.0
2,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
3,368.0,142.0,368.0,445.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,344.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
4,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,296.0,368.0,71.0,368.0,284.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,913.0,368.0,249.0,368.0,370.0,368.0,516.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,142.0
5,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,0.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,747.0,368.0,0.0,368.0,370.0,368.0,0.0,368.0,184.0,368.0,370.0,368.0,0.0,368.0,71.0,368.0,71.0
6,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,498.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,460.0,368.0,71.0,368.0,71.0
7,368.0,142.0,368.0,623.0,368.0,801.0,368.0,71.0,368.0,213.0,368.0,71.0,368.0,370.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,249.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,355.0,368.0,0.0,368.0,368.0,368.0,71.0,368.0,71.0
8,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,1290.0,368.0,184.0,368.0,592.0,368.0,368.0,368.0,71.0,368.0,71.0
9,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
10,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,92.0,368.0,92.0,368.0,356.0,368.0,568.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,344.0
11,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,213.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,460.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,552.0,368.0,184.0,368.0,222.0,368.0,368.0,368.0,71.0,368.0,71.0
12,368.0,142.0,368.0,445.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,213.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,774.0,368.0,83.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,736.0,368.0,370.0,368.0,368.0,368.0,92.0,368.0,71.0
13,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,284.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,0.0,368.0,370.0,368.0,184.0,368.0,460.0,368.0,370.0,368.0,94.0,368.0,136.0,368.0,71.0
14,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,852.0,368.0,736.0,368.0,920.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,0.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
15,368.0,142.0,368.0,89.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,284.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,0.0,368.0,71.0
16,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,276.0,368.0,370.0,368.0,0.0,368.0,284.0,368.0,71.0
17,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,2.0,368.0,920.0,368.0,368.0,368.0,276.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,0.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
18,368.0,142.0,368.0,623.0,368.0,445.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,0.0,368.0,736.0,368.0,552.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
19,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1104.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,71.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,644.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,71.0
20,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,0.0,368.0,71.0,368.0,736.0,368.0,92.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,142.0
21,368.0,142.0,368.0,623.0,368.0,623.0,368.0,71.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,258.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,920.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,166.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,184.0,368.0,71.0,368.0,368.0
22,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,1136.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,368.0
23,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,148.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,213.0,368.0,92.0,368.0,276.0,368.0,249.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,368.0
24,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,142.0,368.0,92.0,368.0,249.0,368.0,0.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,368.0
25,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,0.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,0.0,368.0,92.0,368.0,249.0,368.0,249.0,368.0,666.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,688.0,368.0,368.0
26,368.0,142.0,368.0,623.0,368.0,623.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,356.0,368.0,1278.0,368.0,92.0,368.0,249.0,368.0,0.0,368.0,370.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,276.0
27,368.0,142.0,368.0,623.0,368.0,712.0,368.0,142.0,368.0,142.0,368.0,71.0,368.0,1196.0,368.0,71.0,368.0,71.0,368.0,71.0,368.0,736.0,368.0,368.0,368.0,178.0,368.0,71.0,368.0,92.0,368.0,664.0,368.0,249.0,368.0,222.0,368.0,368.0,368.0,184.0,368.0,370.0,368.0,368.0,368.0,71.0,368.0,368.0
