,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,89.0,552.0,0.0,552.0,560.0,552.0,0.0,552.0,400.0,552.0,0.0,552.0,80.0,552.0,267.0,552.0,0.0,552.0,444.0,552.0,1932.0,552.0,1932.0,552.0,0.0,552.0,0.0,552.0,1136.0,552.0,623.0,552.0,920.0,552.0,71.0,552.0,0.0,552.0,426.0,552.0,0.0,552.0,355.0,552.0,736.0,552.0,430.0,552.0,308.0,552.0,1196.0,552.0,142.0,552.0,552.0,552.0,0.0,552.0,1932.0
1,552.0,89.0,552.0,178.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,92.0,552.0,0.0,552.0,560.0,552.0,560.0,552.0,560.0,552.0,0.0,552.0,828.0,552.0,178.0,552.0,356.0,552.0,444.0,552.0,1932.0,552.0,368.0,552.0,231.0,552.0,460.0,552.0,852.0,552.0,74.0,552.0,828.0,552.0,71.0,552.0,50.0,552.0,77.0,552.0,0.0,552.0,284.0,552.0,462.0,552.0,0.0,552.0,623.0,552.0,267.0,552.0,142.0,552.0,552.0,552.0,0.0,552.0,920.0
2,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,89.0,552.0,534.0,552.0,880.0,552.0,640.0,552.0,0.0,552.0,560.0,552.0,80.0,552.0,89.0,552.0,1012.0,552.0,444.0,552.0,1932.0,552.0,1932.0,552.0,148.0,552.0,71.0,552.0,142.0,552.0,178.0,552.0,355.0,552.0,355.0,552.0,426.0,552.0,0.0,552.0,426.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,920.0,552.0,71.0,552.0,142.0,552.0,552.0,552.0,0.0,552.0,0.0
3,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,89.0,552.0,644.0,552.0,560.0,552.0,0.0,552.0,560.0,552.0,560.0,552.0,560.0,552.0,801.0,552.0,1068.0,552.0,592.0,552.0,1932.0,552.0,368.0,552.0,71.0,552.0,0.0,552.0,400.0,552.0,89.0,552.0,284.0,552.0,715.0,552.0,74.0,552.0,71.0,552.0,1420.0,552.0,0.0,552.0,920.0,552.0,0.0,552.0,552.0,552.0,0.0,552.0,10.0,552.0,552.0,552.0,0.0,552.0,89.0
4,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,89.0,552.0,516.0,552.0,0.0,552.0,1040.0,552.0,0.0,552.0,560.0,552.0,560.0,552.0,0.0,552.0,0.0,552.0,444.0,552.0,1380.0,552.0,1932.0,552.0,0.0,552.0,1633.0,552.0,1513.0,552.0,426.0,552.0,142.0,552.0,497.0,552.0,213.0,552.0,71.0,552.0,89.0,552.0,148.0,552.0,445.0,552.0,0.0,552.0,712.0,552.0,213.0,552.0,142.0,552.0,552.0,552.0,0.0,552.0,1472.0
5,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,89.0,552.0,720.0,552.0,320.0,552.0,720.0,552.0,413.0,552.0,800.0,552.0,560.0,552.0,0.0,552.0,184.0,552.0,444.0,552.0,1932.0,552.0,1932.0,552.0,0.0,552.0,184.0,552.0,71.0,552.0,296.0,552.0,0.0,552.0,71.0,552.0,497.0,552.0,994.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,623.0,552.0,0.0,552.0,74.0,552.0,142.0,552.0,552.0,552.0,0.0,552.0,1932.0
6,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,552.0,552.0,560.0,552.0,581.0,552.0,560.0,552.0,560.0,552.0,0.0,552.0,560.0,552.0,0.0,552.0,400.0,552.0,0.0,552.0,178.0,552.0,444.0,552.0,460.0,552.0,1932.0,552.0,142.0,552.0,92.0,552.0,71.0,552.0,0.0,552.0,1633.0,552.0,0.0,552.0,0.0,552.0,666.0,552.0,71.0,552.0,426.0,552.0,71.0,552.0,213.0,552.0,0.0,552.0,71.0,552.0,0.0,552.0,552.0,552.0,0.0,552.0,1932.0
7,552.0,89.0,552.0,356.0,552.0,1380.0,552.0,1932.0,552.0,172.0,552.0,1196.0,552.0,560.0,552.0,89.0,552.0,80.0,552.0,0.0,552.0,400.0,552.0,560.0,552.0,160.0,552.0,560.0,552.0,0.0,552.0,267.0,552.0,444.0,552.0,1840.0,552.0,460.0,552.0,92.0,552.0,74.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,426.0,552.0,623.0,552.0,142.0,552.0,736.0,552.0,0.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,616.0,552.0,568.0,552.0,552.0,552.0,920.0,552.0,1932.0
8,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,480.0,552.0,80.0,552.0,1040.0,552.0,560.0,552.0,560.0,552.0,560.0,552.0,0.0,552.0,89.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,2.0,552.0,0.0,552.0,71.0,552.0,712.0,552.0,0.0,552.0,0.0,552.0,71.0,552.0,639.0,552.0,0.0,552.0,497.0,552.0,71.0,552.0,920.0,552.0,552.0,552.0,0.0,552.0,284.0,552.0,552.0,552.0,184.0,552.0,1932.0
9,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,688.0,552.0,552.0,552.0,1012.0,552.0,89.0,552.0,240.0,552.0,80.0,552.0,801.0,552.0,560.0,552.0,160.0,552.0,560.0,552.0,0.0,552.0,89.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,71.0,552.0,71.0,552.0,71.0,552.0,178.0,552.0,355.0,552.0,376.0,552.0,1288.0,552.0,592.0,552.0,460.0,552.0,0.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,71.0,552.0,142.0,552.0,184.0,552.0,0.0,552.0,1932.0
10,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,560.0,552.0,560.0,552.0,0.0,552.0,400.0,552.0,720.0,552.0,560.0,552.0,0.0,552.0,534.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,710.0,552.0,92.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,623.0,552.0,89.0,552.0,639.0,552.0,71.0,552.0,497.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,0.0,552.0,332.0,552.0,0.0,552.0,267.0,552.0,1932.0
11,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,560.0,552.0,0.0,552.0,0.0,552.0,184.0,552.0,160.0,552.0,560.0,552.0,0.0,552.0,801.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,0.0,552.0,602.0,552.0,71.0,552.0,71.0,552.0,6.0,552.0,71.0,552.0,0.0,552.0,920.0,552.0,184.0,552.0,284.0,552.0,639.0,552.0,426.0,552.0,552.0,552.0,444.0,552.0,142.0,552.0,0.0,552.0,267.0,552.0,1932.0
12,552.0,89.0,552.0,308.0,552.0,1104.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,172.0,552.0,89.0,552.0,552.0,552.0,644.0,552.0,356.0,552.0,560.0,552.0,0.0,552.0,89.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,284.0,552.0,0.0,552.0,71.0,552.0,166.0,552.0,71.0,552.0,284.0,552.0,1349.0,552.0,284.0,552.0,17.0,552.0,71.0,552.0,71.0,552.0,639.0,552.0,552.0,552.0,213.0,552.0,71.0,552.0,0.0,552.0,178.0,552.0,1932.0
13,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,644.0,552.0,89.0,552.0,560.0,552.0,92.0,552.0,560.0,552.0,560.0,552.0,0.0,552.0,92.0,552.0,814.0,552.0,1932.0,552.0,552.0,552.0,568.0,552.0,92.0,552.0,71.0,552.0,497.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,1196.0,552.0,71.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,0.0,552.0,518.0,552.0,71.0,552.0,267.0,552.0,1932.0
14,552.0,89.0,552.0,356.0,552.0,356.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,560.0,552.0,89.0,552.0,480.0,552.0,0.0,552.0,0.0,552.0,368.0,552.0,17.0,552.0,0.0,552.0,444.0,552.0,1932.0,552.0,460.0,552.0,0.0,552.0,644.0,552.0,310.0,552.0,92.0,552.0,1278.0,552.0,450.0,552.0,92.0,552.0,0.0,552.0,71.0,552.0,0.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,213.0,552.0,92.0,552.0,130.0,552.0,267.0,552.0,1932.0
15,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,0.0,552.0,89.0,552.0,460.0,552.0,480.0,552.0,0.0,552.0,560.0,552.0,0.0,552.0,0.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,460.0,552.0,71.0,552.0,0.0,552.0,712.0,552.0,71.0,552.0,497.0,552.0,0.0,552.0,355.0,552.0,71.0,552.0,0.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,71.0,552.0,71.0,552.0,71.0,552.0,267.0,552.0,1932.0
16,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,560.0,552.0,89.0,552.0,0.0,552.0,560.0,552.0,560.0,552.0,560.0,552.0,445.0,552.0,89.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,276.0,552.0,71.0,552.0,115.0,552.0,0.0,552.0,92.0,552.0,355.0,552.0,0.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,142.0,552.0,71.0,552.0,92.0,552.0,267.0,552.0,368.0
17,552.0,89.0,552.0,356.0,552.0,368.0,552.0,552.0,552.0,516.0,552.0,552.0,552.0,552.0,552.0,89.0,552.0,560.0,552.0,89.0,552.0,560.0,552.0,14.0,552.0,960.0,552.0,560.0,552.0,89.0,552.0,445.0,552.0,444.0,552.0,1932.0,552.0,552.0,552.0,0.0,552.0,1633.0,552.0,0.0,552.0,284.0,552.0,516.0,552.0,497.0,552.0,208.0,552.0,276.0,552.0,71.0,552.0,213.0,552.0,71.0,552.0,426.0,552.0,552.0,552.0,0.0,552.0,213.0,552.0,142.0,552.0,267.0,552.0,1932.0
