,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,63.0,47.0,63.0,61.0,63.0,14.0,63.0,72.0,63.0,2.0,63.0,26.0,63.0,4.0,63.0,61.0,63.0,21.0,63.0,61.0,63.0,71.0,63.0,61.0,63.0,180.0,63.0,61.0,63.0,8.0,63.0,28.0,63.0,4.0,63.0,91.0,63.0,180.0,63.0,180.0,63.0,18.0,63.0,110.0,63.0,108.0,63.0,14.0,63.0,47.0,63.0,5.0
1,61.0,47.0,61.0,61.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,180.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,28.0,61.0,27.0,61.0,91.0
2,61.0,47.0,61.0,61.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,17.0,61.0,85.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,180.0,61.0,33.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,92.0
3,61.0,47.0,61.0,46.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,37.0,61.0,180.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,3.0,61.0,91.0,61.0,17.0,61.0,180.0,61.0,18.0,61.0,45.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,65.0
4,61.0,47.0,61.0,61.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,180.0,61.0,61.0,61.0,59.0,61.0,27.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,0.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,91.0
5,61.0,47.0,61.0,61.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,61.0,61.0,11.0,61.0,69.0,61.0,61.0,61.0,87.0,61.0,180.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,91.0
6,61.0,47.0,61.0,18.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,61.0,61.0,40.0,61.0,61.0,61.0,61.0,61.0,36.0,61.0,180.0,61.0,16.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,0.0
7,61.0,47.0,61.0,61.0,61.0,14.0,61.0,72.0,61.0,2.0,61.0,26.0,61.0,4.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,180.0,61.0,26.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,65.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,60.0,61.0,10.0,61.0,71.0
8,61.0,47.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,20.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,78.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,91.0
9,61.0,47.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,19.0,61.0,61.0,61.0,59.0,61.0,50.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,91.0
10,61.0,47.0,61.0,20.0,61.0,61.0,61.0,48.0,61.0,61.0,61.0,22.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,14.0,61.0,91.0,61.0,180.0,61.0,180.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,14.0,61.0,86.0,61.0,91.0
11,61.0,47.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,58.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,175.0,61.0,8.0,61.0,86.0,61.0,108.0,61.0,57.0,61.0,86.0,61.0,91.0
12,61.0,47.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,1.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,61.0,59.0,61.0,4.0,61.0,91.0,61.0,180.0,61.0,104.0,61.0,18.0,61.0,86.0,61.0,108.0,61.0,98.0,61.0,86.0,61.0,91.0
