,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,222.0,552.0,83.0,552.0,92.0,552.0,92.0,552.0,172.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,1104.0,552.0,184.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
1,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,258.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,460.0,552.0,552.0,552.0,552.0
2,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,332.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,172.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,368.0,552.0,92.0,552.0,552.0,552.0,1380.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,460.0
3,552.0,979.0,552.0,356.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,1840.0,552.0,222.0,552.0,222.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,184.0,552.0,118.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,368.0,552.0,92.0
4,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,222.0,552.0,74.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,1656.0,552.0,0.0,552.0,2.0,552.0,770.0,552.0,770.0,552.0,445.0,552.0,92.0,552.0,552.0,552.0,0.0,552.0,86.0,552.0,828.0,552.0,736.0,552.0,552.0,552.0,552.0
5,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,222.0,552.0,888.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,184.0,552.0,0.0,552.0,178.0,552.0,539.0,552.0,770.0,552.0,0.0,552.0,368.0,552.0,368.0,552.0,368.0,552.0,368.0,552.0,0.0,552.0,736.0,552.0,552.0,552.0,552.0
6,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,222.0,552.0,0.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,350.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,1104.0,552.0,92.0,552.0,534.0,552.0,368.0,552.0,368.0,552.0,1104.0,552.0,736.0,552.0,552.0,552.0,0.0
7,552.0,979.0,552.0,712.0,552.0,296.0,552.0,462.0,552.0,222.0,552.0,296.0,552.0,770.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,222.0,552.0,184.0,552.0,552.0,552.0,644.0,552.0,92.0,552.0,979.0,552.0,770.0,552.0,0.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
8,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,368.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,296.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,736.0,552.0,92.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,920.0,552.0,92.0,552.0,92.0,552.0,368.0,552.0,368.0,552.0,552.0,552.0,736.0,552.0,552.0,552.0,552.0
9,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,77.0,552.0,0.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,50.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,92.0,552.0,184.0,552.0,368.0,552.0,828.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
10,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,148.0,552.0,222.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,92.0,552.0,979.0,552.0,770.0,552.0,0.0,552.0,1932.0,552.0,92.0,552.0,552.0,552.0,460.0,552.0,368.0,552.0,92.0,552.0,276.0,552.0,644.0,552.0,276.0
11,552.0,979.0,552.0,712.0,552.0,184.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,444.0,552.0,222.0,552.0,6.0,552.0,0.0,552.0,92.0,552.0,92.0,552.0,644.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,92.0,552.0,248.0,552.0,552.0,552.0,460.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
12,552.0,979.0,552.0,534.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,184.0,552.0,814.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,368.0,552.0,736.0,552.0,552.0,552.0,552.0
13,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,1554.0,552.0,222.0,552.0,222.0,552.0,1104.0,552.0,828.0,552.0,92.0,552.0,0.0,552.0,92.0,552.0,267.0,552.0,847.0,552.0,770.0,552.0,89.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,92.0
14,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,213.0,552.0,92.0,552.0,2.0,552.0,460.0,552.0,644.0,552.0,92.0,552.0,0.0,552.0,77.0,552.0,770.0,552.0,1335.0,552.0,552.0,552.0,184.0,552.0,368.0,552.0,92.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,0.0
15,552.0,979.0,552.0,623.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,74.0,552.0,222.0,552.0,736.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,160.0,552.0,552.0,552.0,368.0,552.0,0.0,552.0,92.0,552.0,736.0,552.0,92.0,552.0,0.0
16,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,460.0,552.0,92.0,552.0,92.0,552.0,1424.0,552.0,462.0,552.0,770.0,552.0,2208.0,552.0,460.0,552.0,552.0,552.0,368.0,552.0,184.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
17,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,0.0,552.0,222.0,552.0,184.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,2024.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
18,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,534.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,770.0,552.0,770.0,552.0,368.0,552.0,552.0,552.0,552.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
19,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,368.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,736.0,552.0,552.0,552.0,552.0
20,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,184.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,552.0,552.0,0.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,552.0,552.0,552.0
21,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,0.0,552.0,92.0,552.0,92.0,552.0,828.0,552.0,92.0,552.0,267.0,552.0,770.0,552.0,770.0,552.0,1656.0,552.0,552.0,552.0,552.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,368.0,552.0,552.0
22,552.0,979.0,552.0,712.0,552.0,460.0,552.0,552.0,552.0,368.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,86.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,770.0,552.0,770.0,552.0,602.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,920.0,552.0,552.0
23,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,1196.0,552.0,736.0,552.0,920.0,552.0,552.0
24,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,276.0,552.0,92.0,552.0,552.0,552.0,368.0,552.0,276.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,0.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,920.0,552.0,644.0
25,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,296.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,92.0,552.0,92.0,552.0,92.0,552.0,356.0,552.0,92.0,552.0,979.0,552.0,890.0,552.0,770.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,736.0,552.0,920.0,552.0,0.0
26,552.0,979.0,552.0,712.0,552.0,368.0,552.0,552.0,552.0,1480.0,552.0,296.0,552.0,462.0,552.0,0.0,552.0,222.0,552.0,0.0,552.0,68.0,552.0,368.0,552.0,92.0,552.0,1196.0,552.0,92.0,552.0,979.0,552.0,770.0,552.0,770.0,552.0,368.0,552.0,552.0,552.0,552.0,552.0,368.0,552.0,368.0,552.0,92.0,552.0,1288.0,552.0,920.0,552.0,552.0
