,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,172.0,0.0,89.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,552.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0
1,0.0,172.0,0.0,89.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,204.0,0.0,20.0,0.0,10.0,0.0,10.0,0.0,92.0,0.0,0.0,0.0,166.0,0.0,86.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0
2,0.0,172.0,0.0,178.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,156.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,4.0,0.0,10.0,0.0,80.0,0.0,10.0,0.0,184.0,0.0,539.0,0.0,644.0,0.0,276.0,0.0,828.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0
3,0.0,172.0,0.0,178.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,460.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,315.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0
4,0.0,172.0,0.0,178.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,0.0,0.0,801.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,276.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,166.0,0.0,828.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0
5,0.0,172.0,0.0,178.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,208.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,83.0,0.0,828.0,0.0,355.0,0.0,15.0,0.0,30.0,0.0,15.0
6,0.0,172.0,0.0,178.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,86.0,0.0,0.0,0.0,83.0,0.0,828.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0
7,0.0,172.0,0.0,178.0,0.0,774.0,0.0,130.0,0.0,828.0,0.0,623.0,0.0,801.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,52.0,0.0,213.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,83.0,0.0,130.0,0.0,828.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0
8,0.0,172.0,0.0,178.0,0.0,172.0,0.0,0.0,0.0,774.0,0.0,623.0,0.0,130.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,828.0,0.0,0.0,0.0,222.0,0.0,15.0,0.0,5.0
9,0.0,172.0,0.0,178.0,0.0,172.0,0.0,92.0,0.0,774.0,0.0,623.0,0.0,178.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,130.0,0.0,828.0,0.0,0.0,0.0,222.0,0.0,15.0,0.0,15.0
10,0.0,172.0,0.0,178.0,0.0,172.0,0.0,0.0,0.0,774.0,0.0,623.0,0.0,130.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,296.0,0.0,828.0,0.0,5.0,0.0,222.0,0.0,15.0,0.0,15.0
11,0.0,172.0,0.0,89.0,0.0,344.0,0.0,0.0,0.0,774.0,0.0,623.0,0.0,130.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,552.0,0.0,0.0,0.0,166.0,0.0,52.0,0.0,828.0,0.0,92.0,0.0,222.0,0.0,15.0,0.0,15.0
12,0.0,172.0,0.0,89.0,0.0,172.0,0.0,0.0,0.0,774.0,0.0,623.0,0.0,130.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,130.0,0.0,0.0,0.0,581.0,0.0,130.0,0.0,828.0,0.0,15.0,0.0,222.0,0.0,15.0,0.0,15.0
13,0.0,172.0,0.0,89.0,0.0,172.0,0.0,0.0,0.0,774.0,0.0,644.0,0.0,130.0,0.0,130.0,0.0,184.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,148.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,148.0,0.0,828.0,0.0,15.0,0.0,222.0,0.0,15.0,0.0,15.0
14,0.0,172.0,0.0,89.0,0.0,172.0,0.0,0.0,0.0,774.0,0.0,623.0,0.0,130.0,0.0,130.0,0.0,184.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,130.0,0.0,828.0,0.0,15.0,0.0,444.0,0.0,15.0,0.0,42.0
