,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,0.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,460.0,92.0,0.0,92.0,534.0
1,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,0.0,92.0,92.0,92.0,962.0,92.0,222.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
2,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,1157.0,92.0,92.0,92.0,666.0,92.0,962.0,92.0,962.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
3,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,1157.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
4,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,890.0,92.0,92.0,92.0,962.0,92.0,0.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,178.0
5,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,1157.0,92.0,92.0,92.0,740.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,552.0,92.0,267.0,92.0,0.0,92.0,92.0,92.0,445.0
6,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,1157.0,92.0,92.0,92.0,276.0,92.0,0.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
7,92.0,890.0,92.0,801.0,92.0,267.0,92.0,344.0,92.0,1157.0,92.0,344.0,92.0,962.0,92.0,1157.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,178.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
8,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,1068.0,92.0,92.0,92.0,962.0,92.0,1040.0,92.0,370.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
9,92.0,890.0,92.0,712.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,0.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,460.0,92.0,0.0,92.0,92.0,92.0,445.0
