,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,920.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,184.0,552.0,340.0,552.0,340.0,552.0,612.0,552.0,370.0,552.0,370.0,552.0,222.0,552.0,71.0,552.0,249.0,552.0,83.0,552.0,913.0,552.0,1118.0,552.0,994.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,83.0
1,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,368.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,0.0,552.0,71.0,552.0,0.0,552.0,623.0,552.0,370.0,552.0,222.0,552.0,276.0,552.0,83.0,552.0,83.0,552.0,0.0,552.0,602.0,552.0,568.0,552.0,71.0,552.0,0.0,552.0,92.0,552.0,83.0,552.0,83.0
2,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,480.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,0.0,552.0,552.0,552.0,276.0,552.0,534.0,552.0,340.0,552.0,272.0,552.0,920.0,552.0,370.0,552.0,74.0,552.0,296.0,552.0,83.0,552.0,83.0,552.0,249.0,552.0,1118.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,828.0,552.0,83.0,552.0,83.0
3,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,142.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,0.0,552.0,370.0,552.0,222.0,552.0,0.0,552.0,83.0,552.0,83.0,552.0,83.0,552.0,0.0,552.0,71.0,552.0,178.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
4,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,890.0,552.0,370.0,552.0,222.0,552.0,222.0,552.0,83.0,552.0,552.0,552.0,83.0,552.0,0.0,552.0,568.0,552.0,71.0,552.0,92.0,552.0,0.0,552.0,83.0,552.0,83.0
5,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,310.0,552.0,340.0,552.0,356.0,552.0,370.0,552.0,222.0,552.0,222.0,552.0,83.0,552.0,83.0,552.0,83.0,552.0,516.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
6,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,644.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,178.0,552.0,828.0,552.0,74.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,249.0,552.0,688.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
7,552.0,356.0,552.0,534.0,552.0,370.0,552.0,497.0,552.0,516.0,552.0,148.0,552.0,560.0,552.0,2.0,552.0,552.0,552.0,0.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,356.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,83.0,552.0,0.0,552.0,166.0,552.0,516.0,552.0,213.0,552.0,71.0,552.0,0.0,552.0,368.0,552.0,92.0,552.0,166.0
8,552.0,356.0,552.0,0.0,552.0,552.0,552.0,552.0,552.0,1104.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,89.0,552.0,78.0,552.0,222.0,552.0,92.0,552.0,83.0,552.0,177.0,552.0,445.0,552.0,89.0,552.0,71.0,552.0,71.0,552.0,368.0,552.0,0.0,552.0,83.0,552.0,83.0
9,552.0,356.0,552.0,178.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,142.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,1020.0,552.0,340.0,552.0,340.0,552.0,178.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,83.0,552.0,332.0,552.0,516.0,552.0,516.0,552.0,994.0,552.0,71.0,552.0,0.0,552.0,276.0,552.0,0.0,552.0,581.0
