,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,445.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,0.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,0.0,92.0,136.0,92.0,0.0,92.0,249.0,92.0,160.0
1,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,184.0,92.0,92.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,276.0,92.0,92.0,92.0,89.0,92.0,222.0,92.0,368.0,92.0,160.0
2,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,400.0,92.0,0.0,92.0,92.0,92.0,160.0
3,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,0.0,92.0,92.0,92.0,480.0,92.0,222.0,92.0,592.0,92.0,160.0
4,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,0.0,92.0,592.0,92.0,0.0
5,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,0.0,92.0,592.0,92.0,160.0
6,92.0,154.0,92.0,154.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,801.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,592.0,92.0,592.0,92.0,160.0
7,92.0,154.0,92.0,385.0,92.0,160.0,92.0,50.0,92.0,356.0,92.0,801.0,92.0,68.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,368.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,213.0,92.0,592.0,92.0,160.0
8,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,89.0,92.0,0.0,92.0,50.0,92.0,50.0,92.0,50.0,92.0,0.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,160.0,92.0,0.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,222.0,92.0,592.0,92.0,160.0
9,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,50.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,0.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,184.0,92.0,160.0,92.0,222.0,92.0,592.0,92.0,160.0
10,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,500.0,92.0,50.0,92.0,300.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,92.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,0.0,92.0,592.0,92.0,0.0
11,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,296.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,644.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,640.0,92.0,296.0,92.0,592.0,92.0,160.0
12,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,50.0,92.0,68.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,0.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,148.0,92.0,592.0,92.0,160.0
13,92.0,154.0,92.0,154.0,92.0,0.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,92.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,0.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,0.0,92.0,444.0,92.0,592.0,92.0,160.0
14,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,50.0,92.0,50.0,92.0,50.0,92.0,184.0,92.0,89.0,92.0,92.0,92.0,0.0,92.0,276.0,92.0,92.0,92.0,0.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,0.0,92.0,592.0,92.0,0.0
15,92.0,154.0,92.0,154.0,92.0,184.0,92.0,92.0,92.0,712.0,92.0,801.0,92.0,0.0,92.0,50.0,92.0,50.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,160.0,92.0,68.0,92.0,623.0,92.0,83.0,92.0,92.0,92.0,160.0,92.0,296.0,92.0,0.0,92.0,720.0
