,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,0.0,368.0,0.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,0.0,368.0,368.0,368.0,0.0
1,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,1258.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,0.0,368.0,368.0,368.0,320.0
2,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,276.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,0.0
3,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,664.0,368.0,184.0,368.0,368.0,368.0,276.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
4,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1184.0,368.0,249.0,368.0,249.0,368.0,92.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
5,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,82.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
6,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,0.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
7,368.0,116.0,368.0,445.0,368.0,249.0,368.0,320.0,368.0,1332.0,368.0,148.0,368.0,1656.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,92.0,368.0,148.0,368.0,0.0,368.0,1656.0,368.0,89.0,368.0,116.0,368.0,0.0,368.0,116.0,368.0,296.0,368.0,0.0,368.0,249.0,368.0,320.0,368.0,0.0,368.0,368.0,368.0,320.0
8,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,166.0,368.0,249.0,368.0,0.0,368.0,92.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,356.0,368.0,116.0,368.0,116.0,368.0,152.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,640.0
9,368.0,116.0,368.0,712.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,258.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,498.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
10,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,276.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,260.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
