,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,0.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,1012.0,92.0,276.0,92.0,172.0
1,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,552.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,0.0,92.0,276.0,92.0,172.0
2,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,332.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,644.0,92.0,276.0,92.0,172.0
3,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,664.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,276.0,92.0,408.0,92.0,0.0,92.0,276.0,92.0,172.0
4,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,552.0,92.0,1380.0,92.0,172.0
5,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,340.0,92.0,712.0,92.0,430.0,92.0,415.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,92.0,92.0,276.0,92.0,0.0
6,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,476.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,0.0,92.0,276.0,92.0,0.0
7,92.0,1246.0,92.0,534.0,92.0,430.0,92.0,688.0,92.0,1012.0,92.0,86.0,92.0,498.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,368.0,92.0,1472.0,92.0,172.0
8,92.0,1246.0,92.0,534.0,92.0,344.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,0.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,644.0,92.0,276.0,92.0,86.0
9,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,0.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,204.0,92.0,68.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,747.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,460.0,92.0,276.0,92.0,172.0
