,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,184.0,828.0,267.0,828.0,184.0,828.0,250.0,828.0,115.0,828.0,736.0,828.0,18.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,166.0,828.0,83.0,828.0,1328.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,276.0,828.0,2.0,828.0,1012.0
1,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,801.0,828.0,0.0,828.0,828.0,828.0,1012.0,828.0,2.0,828.0,2.0,828.0,1748.0,828.0,184.0,828.0,267.0,828.0,115.0,828.0,115.0,828.0,92.0,828.0,644.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,0.0,828.0,299.0,828.0,445.0,828.0,166.0,828.0,166.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,276.0,828.0,2.0,828.0,644.0
2,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,89.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,2.0,828.0,0.0,828.0,1748.0,828.0,92.0,828.0,267.0,828.0,115.0,828.0,115.0,828.0,115.0,828.0,644.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,581.0,828.0,318.0,828.0,166.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,184.0,828.0,2.0,828.0,1012.0
3,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,222.0,828.0,184.0,828.0,267.0,828.0,115.0,828.0,115.0,828.0,115.0,828.0,644.0,828.0,276.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,83.0,828.0,166.0,828.0,166.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,276.0,828.0,2.0,828.0,1012.0
4,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,50.0,828.0,2.0,828.0,1748.0,828.0,184.0,828.0,89.0,828.0,115.0,828.0,115.0,828.0,115.0,828.0,644.0,828.0,780.0,828.0,299.0,828.0,299.0,828.0,115.0,828.0,0.0,828.0,0.0,828.0,92.0,828.0,166.0,828.0,828.0,828.0,276.0,828.0,161.0,828.0,207.0,828.0,2.0,828.0,1012.0
5,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,890.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,1196.0,828.0,0.0,828.0,267.0,828.0,115.0,828.0,115.0,828.0,115.0,828.0,644.0,828.0,666.0,828.0,299.0,828.0,644.0,828.0,299.0,828.0,299.0,828.0,664.0,828.0,0.0,828.0,166.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,276.0,828.0,8.0,828.0,1012.0
6,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,267.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,4.0,828.0,1748.0,828.0,184.0,828.0,1602.0,828.0,115.0,828.0,355.0,828.0,115.0,828.0,644.0,828.0,69.0,828.0,92.0,828.0,253.0,828.0,299.0,828.0,299.0,828.0,166.0,828.0,166.0,828.0,166.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,1068.0,828.0,2.0,828.0,1012.0
7,828.0,0.0,828.0,89.0,828.0,267.0,828.0,890.0,828.0,1748.0,828.0,267.0,828.0,115.0,828.0,0.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,1472.0,828.0,368.0,828.0,356.0,828.0,115.0,828.0,115.0,828.0,20.0,828.0,644.0,828.0,299.0,828.0,377.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,83.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,276.0,828.0,1656.0,828.0,276.0,828.0,424.0,828.0,1012.0
8,828.0,0.0,828.0,623.0,828.0,267.0,828.0,623.0,828.0,1012.0,828.0,267.0,828.0,828.0,828.0,92.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,1748.0,828.0,184.0,828.0,267.0,828.0,115.0,828.0,115.0,828.0,115.0,828.0,92.0,828.0,299.0,828.0,276.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,166.0,828.0,830.0,828.0,166.0,828.0,828.0,828.0,828.0,828.0,276.0,828.0,276.0,828.0,2.0,828.0,1012.0
9,828.0,0.0,828.0,623.0,828.0,623.0,828.0,623.0,828.0,1012.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,890.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,2.0,828.0,10.0,828.0,1748.0,828.0,184.0,828.0,267.0,828.0,115.0,828.0,115.0,828.0,12.0,828.0,644.0,828.0,322.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,299.0,828.0,166.0,828.0,166.0,828.0,166.0,828.0,552.0,828.0,276.0,828.0,296.0,828.0,276.0,828.0,138.0,828.0,1012.0
