,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,211.0,0.0,244.0,0.0,281.0,0.0,281.0,0.0,321.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,244.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,31.0,0.0,32.0,0.0,115.0,0.0,32.0,0.0,32.0,0.0,27.0,0.0,32.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,31.0,0.0,32.0,0.0,32.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,66.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,289.0,0.0,217.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,211.0,0.0,244.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,278.0,0.0,307.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,244.0,0.0,281.0,0.0,281.0,0.0,283.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,31.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,27.0,0.0,32.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,74.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,139.0,0.0,105.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,34.0,0.0,105.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,289.0,0.0,289.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,211.0,0.0,244.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,31.0,0.0,6.0,0.0,32.0,0.0,32.0,0.0,143.0,0.0,27.0,0.0,32.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,38.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,30.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,104.0,0.0,67.0,0.0,70.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,289.0,0.0,289.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,243.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,244.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,31.0,0.0,32.0,0.0,66.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,73.0,0.0,4.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,66.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,211.0,0.0,211.0,0.0,245.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,144.0,0.0,289.0,0.0,289.0,0.0,244.0,0.0,114.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,211.0,0.0,211.0,0.0,281.0,0.0,246.0,0.0,246.0,0.0,103.0,0.0,353.0,0.0,316.0,0.0,289.0,0.0,289.0,0.0,289.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,256.0,0.0,281.0,0.0,281.0,0.0,286.0,0.0,281.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,142.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,247.0,0.0,281.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,30.0,0.0,32.0,0.0,133.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,138.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,70.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,281.0,0.0,246.0,0.0,212.0,0.0,316.0,0.0,316.0,0.0,252.0,0.0,289.0,0.0,215.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,323.0,0.0,256.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,246.0,0.0,281.0,0.0,307.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,75.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,3.0,0.0,32.0,0.0,32.0,0.0,6.0,0.0,32.0,0.0,4.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,70.0,0.0,32.0,0.0,31.0,0.0,115.0,0.0,139.0,0.0,211.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,255.0,0.0,215.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,256.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,245.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,70.0,0.0,32.0,0.0,4.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,70.0,0.0,32.0,0.0,32.0,0.0,213.0,0.0,139.0,0.0,101.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,211.0,0.0,211.0,0.0,242.0,0.0,246.0,0.0,246.0,0.0,204.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,289.0,0.0,215.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,256.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,280.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,70.0,0.0,32.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,246.0,0.0,283.0,0.0,316.0,0.0,316.0,0.0,316.0,0.0,184.0,0.0,289.0,0.0,215.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,256.0,0.0,245.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,282.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,38.0,0.0,32.0,0.0,6.0,0.0,32.0,0.0,70.0,0.0,32.0,0.0,32.0,0.0,237.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,105.0,0.0,67.0,0.0,76.0,0.0,211.0,0.0,211.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,316.0,0.0,289.0,0.0,289.0,0.0,215.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,315.0,0.0,281.0,0.0,256.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,282.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,281.0,0.0,102.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0,30.0,0.0,32.0,0.0,32.0,0.0,38.0,0.0,36.0,0.0,32.0,0.0,32.0,0.0,70.0,0.0,32.0,0.0,32.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,0.0,211.0,0.0,173.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,316.0,0.0,316.0,0.0,316.0,0.0,183.0,0.0,289.0,0.0,215.0,0.0,289.0,0.0,244.0,0.0,244.0,0.0
