,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,249.0,368.0,400.0,368.0,480.0,368.0,0.0,368.0,267.0,368.0,184.0,368.0,184.0,368.0,0.0,368.0,332.0,368.0,460.0,368.0,500.0,368.0,276.0,368.0,11.0,368.0,86.0,368.0,11.0,368.0,178.0,368.0,4.0,368.0,368.0,368.0,11.0,368.0,0.0,368.0,276.0,368.0,92.0,368.0,0.0,368.0,0.0
1,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,249.0,368.0,160.0,368.0,368.0,368.0,276.0,368.0,0.0,368.0,184.0,368.0,184.0,368.0,148.0,368.0,332.0,368.0,11.0,368.0,209.0,368.0,11.0,368.0,0.0,368.0,0.0,368.0,59.0,368.0,92.0,368.0,0.0,368.0,74.0,368.0,89.0,368.0,0.0,368.0,0.0,368.0,92.0,368.0,0.0,368.0,0.0
2,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,370.0,368.0,92.0,368.0,249.0,368.0,0.0,368.0,480.0,368.0,770.0,368.0,0.0,368.0,184.0,368.0,184.0,368.0,0.0,368.0,332.0,368.0,0.0,368.0,0.0,368.0,287.0,368.0,86.0,368.0,22.0,368.0,0.0,368.0,11.0,368.0,92.0,368.0,11.0,368.0,650.0,368.0,92.0,368.0,0.0,368.0,92.0,368.0,0.0,368.0,0.0
3,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,249.0,368.0,720.0,368.0,480.0,368.0,276.0,368.0,89.0,368.0,184.0,368.0,184.0,368.0,814.0,368.0,332.0,368.0,33.0,368.0,11.0,368.0,0.0,368.0,83.0,368.0,0.0,368.0,70.0,368.0,17.0,368.0,11.0,368.0,8.0,368.0,11.0,368.0,148.0,368.0,12.0,368.0,92.0,368.0,4.0,368.0,0.0
4,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,249.0,368.0,480.0,368.0,80.0,368.0,276.0,368.0,89.0,368.0,184.0,368.0,184.0,368.0,276.0,368.0,332.0,368.0,0.0,368.0,368.0,368.0,0.0,368.0,0.0,368.0,0.0,368.0,0.0,368.0,59.0,368.0,92.0,368.0,0.0,368.0,184.0,368.0,148.0,368.0,276.0,368.0,92.0,368.0,0.0,368.0,0.0
5,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,74.0,368.0,552.0,368.0,249.0,368.0,480.0,368.0,160.0,368.0,0.0,368.0,89.0,368.0,184.0,368.0,184.0,368.0,0.0,368.0,332.0,368.0,22.0,368.0,50.0,368.0,11.0,368.0,860.0,368.0,176.0,368.0,11.0,368.0,460.0,368.0,11.0,368.0,184.0,368.0,11.0,368.0,0.0,368.0,460.0,368.0,92.0,368.0,0.0,368.0,0.0
6,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,267.0,368.0,370.0,368.0,552.0,368.0,249.0,368.0,480.0,368.0,480.0,368.0,276.0,368.0,89.0,368.0,368.0,368.0,184.0,368.0,332.0,368.0,332.0,368.0,88.0,368.0,0.0,368.0,0.0,368.0,71.0,368.0,0.0,368.0,55.0,368.0,20.0,368.0,0.0,368.0,11.0,368.0,11.0,368.0,104.0,368.0,276.0,368.0,92.0,368.0,0.0,368.0,0.0
7,368.0,534.0,368.0,356.0,368.0,296.0,368.0,370.0,368.0,44.0,368.0,92.0,368.0,480.0,368.0,356.0,368.0,370.0,368.0,368.0,368.0,249.0,368.0,345.0,368.0,480.0,368.0,0.0,368.0,89.0,368.0,368.0,368.0,184.0,368.0,332.0,368.0,332.0,368.0,0.0,368.0,77.0,368.0,86.0,368.0,33.0,368.0,0.0,368.0,33.0,368.0,11.0,368.0,2.0,368.0,11.0,368.0,11.0,368.0,0.0,368.0,0.0,368.0,92.0,368.0,71.0,368.0,0.0
8,368.0,534.0,368.0,356.0,368.0,356.0,368.0,267.0,368.0,296.0,368.0,92.0,368.0,920.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,534.0,368.0,1120.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,0.0,368.0,184.0,368.0,83.0,368.0,83.0,368.0,0.0,368.0,602.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,198.0,368.0,0.0,368.0,0.0,368.0,0.0,368.0,11.0,368.0,11.0,368.0,276.0,368.0,92.0,368.0,0.0,368.0,0.0
9,368.0,534.0,368.0,356.0,368.0,356.0,368.0,267.0,368.0,296.0,368.0,92.0,368.0,368.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,534.0,368.0,480.0,368.0,1288.0,368.0,368.0,368.0,178.0,368.0,184.0,368.0,184.0,368.0,332.0,368.0,332.0,368.0,0.0,368.0,11.0,368.0,77.0,368.0,11.0,368.0,99.0,368.0,165.0,368.0,92.0,368.0,92.0,368.0,11.0,368.0,11.0,368.0,62.0,368.0,0.0,368.0,92.0,368.0,0.0,368.0,0.0
10,368.0,534.0,368.0,356.0,368.0,356.0,368.0,267.0,368.0,296.0,368.0,92.0,368.0,368.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,534.0,368.0,368.0,368.0,480.0,368.0,368.0,368.0,89.0,368.0,276.0,368.0,184.0,368.0,332.0,368.0,332.0,368.0,11.0,368.0,0.0,368.0,11.0,368.0,0.0,368.0,66.0,368.0,356.0,368.0,14.0,368.0,26.0,368.0,0.0,368.0,11.0,368.0,0.0,368.0,0.0,368.0,92.0,368.0,0.0,368.0,177.0
11,368.0,534.0,368.0,356.0,368.0,356.0,368.0,267.0,368.0,296.0,368.0,92.0,368.0,0.0,368.0,356.0,368.0,370.0,368.0,0.0,368.0,534.0,368.0,480.0,368.0,480.0,368.0,368.0,368.0,89.0,368.0,184.0,368.0,92.0,368.0,332.0,368.0,828.0,368.0,34.0,368.0,11.0,368.0,11.0,368.0,0.0,368.0,255.0,368.0,92.0,368.0,11.0,368.0,332.0,368.0,26.0,368.0,11.0,368.0,184.0,368.0,276.0,368.0,92.0,368.0,0.0,368.0,0.0
12,368.0,534.0,368.0,356.0,368.0,356.0,368.0,267.0,368.0,296.0,368.0,92.0,368.0,368.0,368.0,356.0,368.0,370.0,368.0,552.0,368.0,534.0,368.0,480.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,184.0,368.0,184.0,368.0,332.0,368.0,332.0,368.0,736.0,368.0,0.0,368.0,176.0,368.0,0.0,368.0,0.0,368.0,0.0,368.0,0.0,368.0,132.0,368.0,0.0,368.0,11.0,368.0,11.0,368.0,276.0,368.0,92.0,368.0,0.0,368.0,0.0
