,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,368.0,828.0,368.0,828.0,1012.0,828.0,0.0,828.0,740.0,828.0,249.0,828.0,258.0,828.0,664.0,828.0,0.0,828.0,249.0,828.0,71.0,828.0,249.0,828.0,664.0,828.0,83.0,828.0,184.0,828.0,77.0,828.0,0.0,828.0,1196.0,828.0,0.0,828.0,267.0,828.0,0.0,828.0,368.0,828.0,623.0,828.0,92.0,828.0,296.0
1,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,368.0,828.0,276.0,828.0,1012.0,828.0,0.0,828.0,148.0,828.0,249.0,828.0,0.0,828.0,249.0,828.0,240.0,828.0,368.0,828.0,249.0,828.0,736.0,828.0,184.0,828.0,83.0,828.0,249.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,0.0,828.0,356.0,828.0,267.0,828.0,368.0,828.0,267.0,828.0,828.0,828.0,296.0
2,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,92.0,828.0,828.0,828.0,1012.0,828.0,1440.0,828.0,148.0,828.0,249.0,828.0,83.0,828.0,498.0,828.0,581.0,828.0,92.0,828.0,184.0,828.0,249.0,828.0,258.0,828.0,415.0,828.0,1494.0,828.0,276.0,828.0,828.0,828.0,1196.0,828.0,0.0,828.0,178.0,828.0,267.0,828.0,368.0,828.0,712.0,828.0,828.0,828.0,296.0
3,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,368.0,828.0,828.0,828.0,1012.0,828.0,0.0,828.0,0.0,828.0,249.0,828.0,0.0,828.0,249.0,828.0,368.0,828.0,0.0,828.0,166.0,828.0,166.0,828.0,166.0,828.0,0.0,828.0,1494.0,828.0,0.0,828.0,828.0,828.0,1196.0,828.0,0.0,828.0,267.0,828.0,267.0,828.0,368.0,828.0,0.0,828.0,828.0,828.0,296.0
4,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,368.0,828.0,828.0,828.0,184.0,828.0,0.0,828.0,148.0,828.0,249.0,828.0,166.0,828.0,664.0,828.0,712.0,828.0,89.0,828.0,0.0,828.0,0.0,828.0,249.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,1196.0,828.0,0.0,828.0,0.0,828.0,267.0,828.0,552.0,828.0,0.0,828.0,828.0,828.0,296.0
5,828.0,1472.0,828.0,74.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,1406.0,828.0,356.0,828.0,368.0,828.0,828.0,828.0,1012.0,828.0,0.0,828.0,444.0,828.0,249.0,828.0,83.0,828.0,184.0,828.0,249.0,828.0,0.0,828.0,415.0,828.0,0.0,828.0,184.0,828.0,581.0,828.0,1245.0,828.0,0.0,828.0,828.0,828.0,368.0,828.0,86.0,828.0,267.0,828.0,267.0,828.0,368.0,828.0,1691.0,828.0,828.0,828.0,296.0
6,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,368.0,828.0,828.0,828.0,1012.0,828.0,0.0,828.0,370.0,828.0,249.0,828.0,249.0,828.0,249.0,828.0,0.0,828.0,249.0,828.0,332.0,828.0,249.0,828.0,166.0,828.0,415.0,828.0,1577.0,828.0,0.0,828.0,736.0,828.0,1196.0,828.0,0.0,828.0,267.0,828.0,267.0,828.0,368.0,828.0,92.0,828.0,552.0,828.0,296.0
7,828.0,1472.0,828.0,92.0,828.0,1380.0,828.0,296.0,828.0,148.0,828.0,518.0,828.0,356.0,828.0,368.0,828.0,828.0,828.0,1012.0,828.0,0.0,828.0,148.0,828.0,249.0,828.0,0.0,828.0,1104.0,828.0,26.0,828.0,747.0,828.0,249.0,828.0,664.0,828.0,249.0,828.0,581.0,828.0,1494.0,828.0,0.0,828.0,828.0,828.0,1196.0,828.0,0.0,828.0,356.0,828.0,267.0,828.0,368.0,828.0,267.0,828.0,828.0,828.0,296.0
8,828.0,1472.0,828.0,92.0,828.0,0.0,828.0,518.0,828.0,518.0,828.0,592.0,828.0,276.0,828.0,828.0,828.0,740.0,828.0,1012.0,828.0,0.0,828.0,148.0,828.0,1380.0,828.0,534.0,828.0,166.0,828.0,0.0,828.0,89.0,828.0,0.0,828.0,86.0,828.0,14.0,828.0,415.0,828.0,1494.0,828.0,415.0,828.0,184.0,828.0,1196.0,828.0,0.0,828.0,368.0,828.0,178.0,828.0,368.0,828.0,1602.0,828.0,828.0,828.0,296.0
9,828.0,1472.0,828.0,92.0,828.0,0.0,828.0,518.0,828.0,518.0,828.0,518.0,828.0,276.0,828.0,368.0,828.0,828.0,828.0,1012.0,828.0,184.0,828.0,148.0,828.0,1380.0,828.0,770.0,828.0,747.0,828.0,282.0,828.0,0.0,828.0,830.0,828.0,0.0,828.0,249.0,828.0,1001.0,828.0,166.0,828.0,0.0,828.0,828.0,828.0,1196.0,828.0,0.0,828.0,1380.0,828.0,267.0,828.0,1196.0,828.0,267.0,828.0,828.0,828.0,296.0
