,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,1258.0,828.0,148.0,828.0,370.0,828.0,92.0,828.0,828.0,828.0,1104.0,828.0,1958.0,828.0,1520.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,74.0,828.0,639.0,828.0,1380.0,828.0,267.0,828.0,0.0,828.0,296.0,828.0,74.0,828.0,0.0,828.0,644.0,828.0,92.0,828.0,71.0,828.0,71.0,828.0,0.0,828.0,828.0,828.0,74.0,828.0,814.0,828.0,74.0,828.0,355.0,828.0,222.0
1,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,444.0,828.0,552.0,828.0,172.0,828.0,148.0,828.0,828.0,828.0,1104.0,828.0,1958.0,828.0,1958.0,828.0,71.0,828.0,71.0,828.0,258.0,828.0,74.0,828.0,0.0,828.0,1196.0,828.0,20.0,828.0,36.0,828.0,0.0,828.0,1702.0,828.0,74.0,828.0,1380.0,828.0,296.0,828.0,71.0,828.0,71.0,828.0,1157.0,828.0,644.0,828.0,92.0,828.0,0.0,828.0,1036.0,828.0,0.0,828.0,222.0
2,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,148.0,828.0,148.0,828.0,148.0,828.0,148.0,828.0,828.0,828.0,460.0,828.0,1958.0,828.0,445.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,74.0,828.0,150.0,828.0,385.0,828.0,552.0,828.0,444.0,828.0,296.0,828.0,1702.0,828.0,74.0,828.0,2484.0,828.0,296.0,828.0,0.0,828.0,71.0,828.0,2136.0,828.0,828.0,828.0,370.0,828.0,1564.0,828.0,1564.0,828.0,0.0,828.0,222.0
3,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,0.0,828.0,148.0,828.0,74.0,828.0,148.0,828.0,828.0,828.0,1104.0,828.0,1958.0,828.0,178.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,74.0,828.0,222.0,828.0,444.0,828.0,0.0,828.0,41.0,828.0,148.0,828.0,296.0,828.0,276.0,828.0,552.0,828.0,213.0,828.0,71.0,828.0,71.0,828.0,801.0,828.0,828.0,828.0,913.0,828.0,296.0,828.0,222.0,828.0,370.0,828.0,222.0
4,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,0.0,828.0,0.0,828.0,148.0,828.0,666.0,828.0,1288.0,828.0,1104.0,828.0,1958.0,828.0,445.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,74.0,828.0,2300.0,828.0,740.0,828.0,368.0,828.0,0.0,828.0,1702.0,828.0,0.0,828.0,74.0,828.0,184.0,828.0,296.0,828.0,0.0,828.0,284.0,828.0,89.0,828.0,828.0,828.0,0.0,828.0,148.0,828.0,222.0,828.0,0.0,828.0,222.0
5,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,368.0,828.0,296.0,828.0,148.0,828.0,592.0,828.0,0.0,828.0,148.0,828.0,828.0,828.0,1104.0,828.0,1958.0,828.0,1958.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,74.0,828.0,267.0,828.0,62.0,828.0,0.0,828.0,770.0,828.0,1110.0,828.0,0.0,828.0,74.0,828.0,92.0,828.0,296.0,828.0,71.0,828.0,71.0,828.0,801.0,828.0,736.0,828.0,0.0,828.0,296.0,828.0,213.0,828.0,444.0,828.0,222.0
6,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,148.0,828.0,148.0,828.0,644.0,828.0,712.0,828.0,828.0,828.0,1104.0,828.0,1958.0,828.0,1958.0,828.0,639.0,828.0,71.0,828.0,74.0,828.0,74.0,828.0,370.0,828.0,148.0,828.0,150.0,828.0,14.0,828.0,0.0,828.0,0.0,828.0,74.0,828.0,0.0,828.0,296.0,828.0,71.0,828.0,71.0,828.0,828.0,828.0,184.0,828.0,276.0,828.0,518.0,828.0,740.0,828.0,222.0,828.0,222.0
7,828.0,1380.0,828.0,712.0,828.0,534.0,828.0,1157.0,828.0,1958.0,828.0,296.0,828.0,71.0,828.0,828.0,828.0,296.0,828.0,740.0,828.0,10.0,828.0,148.0,828.0,0.0,828.0,720.0,828.0,1104.0,828.0,1958.0,828.0,1958.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,89.0,828.0,1110.0,828.0,814.0,828.0,828.0,828.0,962.0,828.0,148.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,296.0,828.0,71.0,828.0,71.0,828.0,267.0,828.0,828.0,828.0,92.0,828.0,0.0,828.0,2.0,828.0,445.0,828.0,222.0
8,828.0,1380.0,828.0,712.0,828.0,712.0,828.0,1380.0,828.0,445.0,828.0,296.0,828.0,296.0,828.0,828.0,828.0,296.0,828.0,148.0,828.0,666.0,828.0,148.0,828.0,148.0,828.0,828.0,828.0,534.0,828.0,1958.0,828.0,1958.0,828.0,71.0,828.0,71.0,828.0,74.0,828.0,89.0,828.0,1850.0,828.0,644.0,828.0,828.0,828.0,276.0,828.0,720.0,828.0,0.0,828.0,74.0,828.0,828.0,828.0,296.0,828.0,0.0,828.0,71.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,74.0,828.0,0.0,828.0,213.0,828.0,222.0
9,828.0,1380.0,828.0,712.0,828.0,712.0,828.0,1380.0,828.0,445.0,828.0,296.0,828.0,296.0,828.0,828.0,828.0,296.0,828.0,222.0,828.0,0.0,828.0,148.0,828.0,518.0,828.0,0.0,828.0,1104.0,828.0,1958.0,828.0,1958.0,828.0,71.0,828.0,71.0,828.0,0.0,828.0,801.0,828.0,222.0,828.0,2047.0,828.0,828.0,828.0,666.0,828.0,1288.0,828.0,0.0,828.0,408.0,828.0,92.0,828.0,296.0,828.0,781.0,828.0,71.0,828.0,644.0,828.0,552.0,828.0,644.0,828.0,0.0,828.0,222.0,828.0,445.0,828.0,222.0
