,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,276.0,92.0,740.0,92.0,148.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,0.0,92.0,178.0,92.0,814.0,92.0,962.0,92.0,0.0,92.0,184.0
1,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,0.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,344.0,92.0,0.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
2,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,0.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,518.0,92.0,0.0,92.0,276.0,92.0,148.0,92.0,962.0,92.0,0.0,92.0,0.0
3,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,276.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,276.0,92.0,0.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,249.0
4,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,0.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,0.0,92.0,267.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
5,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,89.0,92.0,946.0,92.0,47.0,92.0,979.0,92.0,518.0,92.0,962.0,92.0,430.0,92.0,267.0,92.0,160.0,92.0,962.0,92.0,0.0,92.0,0.0
6,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,249.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,0.0,92.0,267.0,92.0,518.0,92.0,962.0,92.0,0.0,92.0,0.0
7,92.0,979.0,92.0,92.0,92.0,890.0,92.0,1157.0,92.0,962.0,92.0,0.0,92.0,740.0,92.0,86.0,92.0,86.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,92.0,92.0,86.0,92.0,267.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
8,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,0.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,0.0,92.0,0.0,92.0,267.0,92.0,740.0,92.0,0.0,92.0,0.0,92.0,0.0
9,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,0.0,92.0,267.0,92.0,296.0,92.0,962.0,92.0,498.0,92.0,332.0
10,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,623.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,592.0,92.0,83.0,92.0,172.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
11,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,623.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,370.0,92.0,0.0,92.0,267.0,92.0,370.0,92.0,368.0,92.0,0.0,92.0,0.0
12,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,1204.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,92.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,644.0,92.0,0.0
13,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,89.0,92.0,644.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,0.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,747.0
14,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,0.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,592.0,92.0,0.0,92.0,0.0
15,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,534.0,92.0,0.0,92.0,1012.0,92.0,86.0,92.0,946.0,92.0,0.0,92.0,979.0,92.0,962.0,92.0,0.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,166.0,92.0,0.0
16,92.0,979.0,92.0,92.0,92.0,1012.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,296.0,92.0,0.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
17,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
18,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,184.0,92.0,92.0,92.0,86.0,92.0,860.0,92.0,0.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,83.0,92.0,0.0
19,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,258.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,666.0,92.0,740.0,92.0,86.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
20,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,258.0,92.0,0.0,92.0,0.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
21,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,1032.0,92.0,0.0,92.0,258.0,92.0,946.0,92.0,89.0,92.0,267.0,92.0,222.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
22,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,86.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,664.0,92.0,0.0
23,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,946.0,92.0,344.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,249.0,92.0,0.0
24,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,172.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,498.0,92.0,0.0
25,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,172.0,92.0,946.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,92.0,92.0,946.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,92.0,92.0,0.0
26,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
27,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,712.0,92.0,616.0,92.0,178.0,92.0,0.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
28,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,0.0,92.0,460.0,92.0,0.0,92.0,172.0,92.0,430.0,92.0,445.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,0.0,92.0,444.0,92.0,0.0,92.0,0.0
29,92.0,979.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,92.0,92.0,258.0,92.0,430.0,92.0,623.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
30,92.0,979.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,0.0,92.0,0.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,814.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
31,92.0,979.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,0.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,0.0,92.0,284.0,92.0,962.0,92.0,415.0,92.0,0.0
32,92.0,979.0,92.0,92.0,92.0,178.0,92.0,1335.0,92.0,1157.0,92.0,740.0,92.0,0.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,1157.0,92.0,92.0,92.0,178.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,828.0
33,92.0,979.0,92.0,276.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,0.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,148.0,92.0,92.0,92.0,267.0,92.0,1380.0,92.0,962.0,92.0,0.0,92.0,0.0
34,92.0,979.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,172.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,0.0,92.0,962.0,92.0,0.0,92.0,0.0
35,92.0,979.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,368.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,1104.0,92.0,801.0,92.0,267.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,0.0
36,92.0,979.0,92.0,0.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,602.0,92.0,172.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
37,92.0,979.0,92.0,92.0,92.0,178.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,0.0,92.0,172.0,92.0,0.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,623.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
38,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,890.0,92.0,740.0,92.0,0.0,92.0,86.0,92.0,430.0,92.0,736.0,92.0,979.0,92.0,32.0,92.0,666.0,92.0,0.0,92.0,445.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
39,92.0,979.0,92.0,92.0,92.0,979.0,92.0,178.0,92.0,1157.0,92.0,740.0,92.0,0.0,92.0,86.0,92.0,430.0,92.0,89.0,92.0,979.0,92.0,962.0,92.0,962.0,92.0,92.0,92.0,267.0,92.0,740.0,92.0,962.0,92.0,0.0,92.0,0.0
40,801.0,801.0,801.0,92.0,801.0,1246.0,801.0,178.0,801.0,1157.0,801.0,0.0,801.0,0.0,801.0,86.0,801.0,430.0,801.0,89.0,801.0,0.0,801.0,962.0,801.0,962.0,801.0,92.0,801.0,267.0,801.0,740.0,801.0,962.0,801.0,0.0,801.0,0.0
41,801.0,801.0,801.0,92.0,801.0,979.0,801.0,178.0,801.0,1157.0,801.0,0.0,801.0,0.0,801.0,552.0,801.0,430.0,801.0,89.0,801.0,979.0,801.0,962.0,801.0,962.0,801.0,92.0,801.0,0.0,801.0,740.0,801.0,962.0,801.0,0.0,801.0,1079.0
42,801.0,801.0,801.0,92.0,801.0,979.0,801.0,178.0,801.0,0.0,801.0,0.0,801.0,14.0,801.0,86.0,801.0,92.0,801.0,89.0,801.0,979.0,801.0,962.0,801.0,962.0,801.0,86.0,801.0,0.0,801.0,740.0,801.0,962.0,801.0,0.0,801.0,736.0
43,801.0,801.0,801.0,92.0,801.0,979.0,801.0,178.0,801.0,1157.0,801.0,623.0,801.0,774.0,801.0,86.0,801.0,92.0,801.0,89.0,801.0,979.0,801.0,962.0,801.0,962.0,801.0,86.0,801.0,267.0,801.0,740.0,801.0,962.0,801.0,92.0,801.0,0.0
