,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,828.0,184.0,828.0,1288.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,444.0,828.0,1036.0,828.0,890.0,828.0,89.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,445.0
1,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,748.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,0.0,828.0,0.0,828.0,267.0,828.0,89.0,828.0,267.0,828.0,920.0,828.0,0.0,828.0,445.0
2,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,92.0,828.0,240.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,445.0
3,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,430.0,828.0,890.0,828.0,267.0,828.0,460.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,445.0
4,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,623.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,623.0,828.0,920.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,1288.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,623.0,828.0,828.0,828.0,0.0,828.0,92.0
5,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,0.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,736.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,801.0,828.0,828.0,828.0,0.0,828.0,445.0
6,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,445.0
7,828.0,184.0,828.0,1012.0,828.0,267.0,828.0,666.0,828.0,890.0,828.0,178.0,828.0,568.0,828.0,118.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,1602.0,828.0,89.0,828.0,267.0,828.0,92.0,828.0,0.0,828.0,445.0
8,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,736.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,650.0,828.0,267.0,828.0,89.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,445.0
9,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,979.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,801.0,828.0,267.0,828.0,89.0,828.0,1869.0,828.0,828.0,828.0,0.0,828.0,445.0
10,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,644.0,828.0,623.0,828.0,178.0,828.0,148.0,828.0,178.0,828.0,0.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,623.0,828.0,267.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,445.0
11,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,534.0,828.0,0.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,801.0,828.0,267.0,828.0,368.0,828.0,267.0,828.0,828.0,828.0,1472.0,828.0,623.0
12,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,979.0,828.0,0.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,368.0,828.0,356.0,828.0,267.0,828.0,534.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,445.0
13,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,712.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,356.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,89.0
14,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,178.0,828.0,356.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,1780.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,445.0
15,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,0.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,962.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,267.0,828.0,1012.0,828.0,0.0,828.0,623.0
16,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,267.0,828.0,623.0,828.0,890.0,828.0,368.0,828.0,1184.0,828.0,444.0,828.0,979.0,828.0,356.0,828.0,89.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,445.0
17,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,0.0,828.0,1246.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,0.0,828.0,644.0,828.0,801.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,666.0,828.0,890.0,828.0,267.0,828.0,0.0,828.0,296.0,828.0,1196.0,828.0,0.0,828.0,0.0
18,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,0.0,828.0,178.0,828.0,828.0,828.0,644.0,828.0,736.0,828.0,890.0,828.0,276.0,828.0,666.0,828.0,1162.0,828.0,890.0,828.0,267.0,828.0,89.0,828.0,356.0,828.0,828.0,828.0,0.0,828.0,445.0
19,828.0,184.0,828.0,1012.0,828.0,356.0,828.0,828.0,828.0,623.0,828.0,178.0,828.0,1196.0,828.0,178.0,828.0,178.0,828.0,178.0,828.0,828.0,828.0,736.0,828.0,623.0,828.0,890.0,828.0,276.0,828.0,736.0,828.0,666.0,828.0,890.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,828.0,828.0,0.0,828.0,445.0
