,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,6.0,0.0,47.0,0.0,1.0,0.0,60.0
1,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,4.0,0.0,47.0,0.0,1.0,0.0,0.0
2,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,6.0,0.0,47.0,0.0,1.0,0.0,0.0
3,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,47.0
4,0.0,10.0,0.0,18.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,14.0
5,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,6.0,0.0,47.0,0.0,1.0,0.0,47.0
6,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,47.0
7,0.0,10.0,0.0,3.0,0.0,27.0,0.0,58.0,0.0,40.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,47.0
8,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0
9,0.0,10.0,0.0,0.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
10,0.0,10.0,0.0,3.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,35.0
11,0.0,10.0,0.0,3.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
12,0.0,10.0,0.0,3.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
13,0.0,10.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,8.0,0.0,38.0,0.0,1.0,0.0,47.0
14,0.0,10.0,0.0,4.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
15,0.0,10.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
16,0.0,10.0,0.0,3.0,0.0,17.0,0.0,52.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
17,0.0,10.0,0.0,3.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
18,0.0,10.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
19,0.0,10.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,47.0
20,0.0,10.0,0.0,0.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,47.0
21,0.0,10.0,0.0,3.0,0.0,17.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0
22,0.0,10.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,38.0,0.0,1.0,0.0,47.0
