,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,15.0,368.0,258.0,368.0,20.0,368.0,20.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,0.0,368.0,0.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,415.0,368.0,249.0
1,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,592.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,0.0,368.0,0.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,77.0,368.0,650.0,368.0,1157.0,368.0,0.0,368.0,368.0,368.0,83.0,368.0,0.0
2,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,142.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,460.0,368.0,0.0,368.0,20.0,368.0,178.0,368.0,92.0,368.0,368.0,368.0,80.0,368.0,83.0
3,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,276.0,368.0,0.0,368.0,368.0,368.0,184.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,0.0,368.0,1157.0,368.0,0.0,368.0,736.0,368.0,460.0,368.0,83.0
4,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,623.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,258.0,368.0,736.0,368.0,736.0,368.0,368.0,368.0,0.0,368.0,20.0,368.0,1157.0,368.0,0.0,368.0,368.0,368.0,1288.0,368.0,736.0
5,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,150.0,368.0,801.0,368.0,20.0,368.0,15.0,368.0,152.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,0.0,368.0,20.0,368.0,1157.0,368.0,0.0,368.0,368.0,368.0,276.0,368.0,0.0
6,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,89.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,1278.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,92.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,83.0,368.0,0.0
7,368.0,296.0,368.0,368.0,368.0,124.0,368.0,740.0,368.0,888.0,368.0,178.0,368.0,20.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,222.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,0.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,0.0,368.0,736.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,558.0,368.0,368.0,368.0,0.0,368.0,267.0
8,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,178.0,368.0,740.0,368.0,740.0,368.0,666.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,10.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,83.0,368.0,83.0
9,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,368.0,368.0,801.0,368.0,20.0,368.0,25.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,80.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,0.0,368.0,368.0,368.0,0.0,368.0,332.0
