,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,0.0,828.0,253.0,828.0,550.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,276.0,828.0,534.0,828.0,550.0,828.0,828.0,828.0,92.0,828.0,1288.0,828.0,748.0,828.0,748.0,828.0,748.0,828.0,68.0,828.0,748.0,828.0,748.0,828.0,253.0,828.0,253.0,828.0,979.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,0.0,828.0,0.0,828.0,83.0,828.0,0.0,828.0,828.0,828.0,207.0,828.0,207.0,828.0,230.0,828.0,207.0,828.0,92.0
1,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,1012.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,184.0,828.0,445.0,828.0,550.0,828.0,828.0,828.0,92.0,828.0,1472.0,828.0,748.0,828.0,748.0,828.0,130.0,828.0,748.0,828.0,748.0,828.0,204.0,828.0,253.0,828.0,184.0,828.0,184.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,1196.0,828.0,0.0,828.0,83.0,828.0,83.0,828.0,828.0,828.0,207.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,92.0
2,828.0,1564.0,828.0,623.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,253.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,276.0,828.0,445.0,828.0,0.0,828.0,828.0,828.0,276.0,828.0,1564.0,828.0,748.0,828.0,780.0,828.0,979.0,828.0,748.0,828.0,408.0,828.0,748.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,276.0,828.0,814.0,828.0,253.0,828.0,0.0,828.0,552.0,828.0,83.0,828.0,1162.0,828.0,828.0,828.0,207.0,828.0,207.0,828.0,115.0,828.0,23.0,828.0,92.0
3,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,550.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,276.0,828.0,445.0,828.0,550.0,828.0,828.0,828.0,92.0,828.0,1564.0,828.0,518.0,828.0,748.0,828.0,592.0,828.0,748.0,828.0,748.0,828.0,748.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,0.0,828.0,0.0,828.0,77.0,828.0,83.0,828.0,828.0,828.0,207.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,736.0
4,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,0.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,276.0,828.0,445.0,828.0,550.0,828.0,828.0,828.0,92.0,828.0,1564.0,828.0,0.0,828.0,272.0,828.0,476.0,828.0,748.0,828.0,1088.0,828.0,748.0,828.0,23.0,828.0,0.0,828.0,253.0,828.0,253.0,828.0,83.0,828.0,253.0,828.0,534.0,828.0,0.0,828.0,332.0,828.0,83.0,828.0,92.0,828.0,207.0,828.0,600.0,828.0,115.0,828.0,207.0,828.0,92.0
5,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,550.0,828.0,300.0,828.0,550.0,828.0,748.0,828.0,276.0,828.0,1691.0,828.0,50.0,828.0,828.0,828.0,92.0,828.0,1564.0,828.0,748.0,828.0,272.0,828.0,748.0,828.0,68.0,828.0,748.0,828.0,748.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,83.0,828.0,0.0,828.0,0.0,828.0,920.0,828.0,0.0,828.0,83.0,828.0,828.0,828.0,207.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,92.0
6,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,550.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,276.0,828.0,801.0,828.0,550.0,828.0,828.0,828.0,0.0,828.0,1564.0,828.0,649.0,828.0,748.0,828.0,748.0,828.0,748.0,828.0,748.0,828.0,979.0,828.0,230.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,83.0,828.0,253.0,828.0,830.0,828.0,0.0,828.0,83.0,828.0,249.0,828.0,445.0,828.0,23.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,92.0
7,828.0,1564.0,828.0,445.0,828.0,1068.0,828.0,1157.0,828.0,550.0,828.0,92.0,828.0,253.0,828.0,444.0,828.0,550.0,828.0,550.0,828.0,748.0,828.0,267.0,828.0,445.0,828.0,550.0,828.0,828.0,828.0,92.0,828.0,1564.0,828.0,748.0,828.0,213.0,828.0,748.0,828.0,748.0,828.0,0.0,828.0,748.0,828.0,253.0,828.0,124.0,828.0,0.0,828.0,0.0,828.0,83.0,828.0,253.0,828.0,0.0,828.0,231.0,828.0,89.0,828.0,83.0,828.0,828.0,828.0,369.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,92.0
8,828.0,1564.0,828.0,445.0,828.0,445.0,828.0,828.0,828.0,1012.0,828.0,92.0,828.0,550.0,828.0,550.0,828.0,300.0,828.0,550.0,828.0,0.0,828.0,276.0,828.0,445.0,828.0,0.0,828.0,828.0,828.0,92.0,828.0,1564.0,828.0,272.0,828.0,748.0,828.0,544.0,828.0,592.0,828.0,1104.0,828.0,184.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,253.0,828.0,83.0,828.0,213.0,828.0,0.0,828.0,736.0,828.0,498.0,828.0,0.0,828.0,644.0,828.0,222.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,356.0
9,828.0,1564.0,828.0,445.0,828.0,445.0,828.0,828.0,828.0,1012.0,828.0,92.0,828.0,550.0,828.0,550.0,828.0,550.0,828.0,550.0,828.0,550.0,828.0,276.0,828.0,445.0,828.0,0.0,828.0,828.0,828.0,92.0,828.0,1564.0,828.0,748.0,828.0,748.0,828.0,748.0,828.0,92.0,828.0,368.0,828.0,0.0,828.0,253.0,828.0,253.0,828.0,161.0,828.0,253.0,828.0,83.0,828.0,253.0,828.0,0.0,828.0,1104.0,828.0,0.0,828.0,332.0,828.0,368.0,828.0,207.0,828.0,207.0,828.0,115.0,828.0,207.0,828.0,92.0
