,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,356.0,92.0,166.0,92.0,890.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,83.0,92.0,92.0
1,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,92.0,92.0,92.0
2,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,623.0,92.0,0.0,92.0,92.0,92.0,498.0,92.0,83.0,92.0,92.0
3,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,445.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,83.0,92.0,92.0
4,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,0.0,92.0,92.0
5,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,0.0,92.0,890.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,83.0,92.0,92.0
6,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,332.0,92.0,83.0,92.0,460.0
7,92.0,1068.0,92.0,712.0,92.0,258.0,92.0,332.0,92.0,1162.0,92.0,0.0,92.0,1288.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,534.0,92.0,92.0,92.0,50.0,92.0,498.0,92.0,83.0,92.0,92.0
8,92.0,1068.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,332.0,92.0,0.0,92.0,1162.0,92.0,1068.0,92.0,166.0,92.0,258.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,83.0,92.0,92.0
9,92.0,1068.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,332.0,92.0,0.0,92.0,1162.0,92.0,1068.0,92.0,166.0,92.0,890.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,498.0,92.0,83.0,92.0,92.0
