,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,92.0,552.0,801.0,552.0,92.0,552.0,516.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,172.0,552.0,258.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,415.0,552.0,415.0,552.0,415.0,552.0,1012.0
1,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,92.0,552.0,801.0,552.0,92.0,552.0,516.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,1104.0,552.0,92.0,552.0,172.0,552.0,1656.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,415.0,552.0,415.0,552.0,415.0,552.0,184.0
2,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,0.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,92.0,552.0,623.0,552.0,92.0,552.0,516.0,552.0,272.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,415.0,552.0,59.0,552.0,415.0,552.0,184.0
3,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,0.0,552.0,1380.0,552.0,92.0,552.0,801.0,552.0,92.0,552.0,516.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,0.0,552.0,0.0,552.0,415.0,552.0,0.0,552.0,415.0,552.0,184.0
4,552.0,623.0,552.0,267.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,92.0,552.0,801.0,552.0,92.0,552.0,516.0,552.0,156.0,552.0,265.0,552.0,0.0,552.0,156.0,552.0,156.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,415.0,552.0,415.0,552.0,415.0,552.0,184.0
5,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,92.0,552.0,801.0,552.0,92.0,552.0,946.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,0.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,623.0,552.0,1118.0,552.0,415.0,552.0,415.0,552.0,415.0,552.0,276.0
6,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,344.0,552.0,801.0,552.0,92.0,552.0,688.0,552.0,52.0,552.0,408.0,552.0,156.0,552.0,156.0,552.0,104.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,415.0,552.0,415.0,552.0,83.0,552.0,184.0
7,552.0,623.0,552.0,801.0,552.0,86.0,552.0,156.0,552.0,430.0,552.0,623.0,552.0,1380.0,552.0,92.0,552.0,1380.0,552.0,736.0,552.0,801.0,552.0,92.0,552.0,0.0,552.0,52.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,0.0,552.0,172.0,552.0,184.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,415.0,552.0,415.0,552.0,415.0,552.0,184.0
8,552.0,623.0,552.0,445.0,552.0,516.0,552.0,516.0,552.0,516.0,552.0,623.0,552.0,92.0,552.0,0.0,552.0,1380.0,552.0,92.0,552.0,0.0,552.0,92.0,552.0,516.0,552.0,400.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,623.0,552.0,92.0,552.0,644.0,552.0,415.0,552.0,415.0,552.0,445.0
9,552.0,623.0,552.0,801.0,552.0,516.0,552.0,516.0,552.0,516.0,552.0,623.0,552.0,92.0,552.0,92.0,552.0,860.0,552.0,92.0,552.0,534.0,552.0,0.0,552.0,516.0,552.0,740.0,552.0,156.0,552.0,156.0,552.0,156.0,552.0,52.0,552.0,172.0,552.0,0.0,552.0,552.0,552.0,623.0,552.0,0.0,552.0,92.0,552.0,0.0,552.0,415.0,552.0,368.0
