,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,18.0,828.0,644.0,828.0,1196.0,828.0,184.0,828.0,828.0,828.0,76.0,828.0,344.0,828.0,6.0,828.0,4.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0
1,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,0.0,828.0,828.0,828.0,4.0,828.0,460.0,828.0,4.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,801.0
2,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,89.0,828.0,276.0,828.0,267.0,828.0,1157.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,460.0,828.0,828.0,828.0,4.0,828.0,4.0,828.0,370.0,828.0,184.0,828.0,4.0,828.0,92.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,276.0,828.0,2.0,828.0,2.0,828.0,801.0
3,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,498.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,8.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,276.0,828.0,195.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,0.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,1424.0,828.0,2.0,828.0,2.0,828.0,83.0,828.0,801.0
4,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,89.0,828.0,89.0,828.0,6.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,592.0,828.0,92.0,828.0,2.0,828.0,574.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,8.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,801.0
5,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,184.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,12.0,828.0,18.0,828.0,4.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,368.0,828.0,828.0,828.0,100.0,828.0,240.0,828.0,4.0,828.0,4.0,828.0,8.0,828.0,184.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,801.0
6,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,89.0,828.0,0.0,828.0,1869.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,828.0,828.0,4.0,828.0,4.0,828.0,10.0,828.0,0.0,828.0,4.0,828.0,0.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,0.0,828.0,164.0,828.0,140.0,828.0,801.0
7,828.0,18.0,828.0,828.0,828.0,267.0,828.0,1068.0,828.0,89.0,828.0,828.0,828.0,592.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,4.0,828.0,18.0,828.0,736.0,828.0,828.0,828.0,1104.0,828.0,828.0,828.0,4.0,828.0,748.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,184.0,828.0,592.0,828.0,518.0,828.0,0.0,828.0,4.0,828.0,0.0,828.0,89.0,828.0,14.0,828.0,2.0,828.0,2.0,828.0,979.0
8,828.0,18.0,828.0,828.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,516.0,828.0,18.0,828.0,18.0,828.0,20.0,828.0,828.0,828.0,828.0,828.0,736.0,828.0,828.0,828.0,534.0,828.0,4.0,828.0,4.0,828.0,22.0,828.0,4.0,828.0,184.0,828.0,0.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,801.0
9,828.0,18.0,828.0,712.0,828.0,890.0,828.0,267.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,445.0,828.0,623.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,460.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,1104.0,828.0,30.0,828.0,0.0,828.0,41.0,828.0,0.0,828.0,4.0,828.0,184.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,168.0,828.0,2.0,828.0,2.0,828.0,801.0
