,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,63.0,2.0,63.0,37.0,63.0,6.0,63.0,48.0,63.0,8.0,63.0,61.0,63.0,17.0,63.0,61.0,63.0,61.0,63.0,114.0,63.0,61.0,63.0,61.0,63.0,16.0,63.0,55.0,63.0,32.0,63.0,6.0,63.0,48.0,63.0,8.0,63.0,114.0,63.0,152.0,63.0,26.0,63.0,37.0,63.0,26.0,63.0,127.0
1,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,56.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,114.0,61.0,48.0,61.0,33.0,61.0,88.0,61.0,0.0,61.0,61.0,61.0,6.0,61.0,35.0,61.0,8.0,61.0,114.0,61.0,152.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
2,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,114.0,61.0,40.0,61.0,61.0,61.0,55.0,61.0,55.0,61.0,61.0,61.0,17.0,61.0,48.0,61.0,7.0,61.0,114.0,61.0,152.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
3,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,56.0,61.0,17.0,61.0,85.0,61.0,61.0,61.0,114.0,61.0,61.0,61.0,63.0,61.0,55.0,61.0,35.0,61.0,61.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,114.0,61.0,152.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
4,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,114.0,61.0,82.0,61.0,61.0,61.0,27.0,61.0,55.0,61.0,49.0,61.0,37.0,61.0,48.0,61.0,8.0,61.0,60.0,61.0,152.0,61.0,34.0,61.0,88.0,61.0,26.0,61.0,127.0
5,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,114.0,61.0,61.0,61.0,61.0,61.0,77.0,61.0,38.0,61.0,61.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,114.0,61.0,152.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
6,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,114.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,55.0,61.0,70.0,61.0,39.0,61.0,48.0,61.0,8.0,61.0,28.0,61.0,152.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
7,61.0,2.0,61.0,37.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,23.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,114.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,55.0,61.0,61.0,61.0,12.0,61.0,106.0,61.0,8.0,61.0,8.0,61.0,152.0,61.0,2.0,61.0,38.0,61.0,26.0,61.0,46.0
8,61.0,2.0,61.0,1.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,45.0,61.0,1.0,61.0,6.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,69.0,61.0,61.0,61.0,6.0,61.0,0.0,61.0,8.0,61.0,114.0,61.0,127.0,61.0,66.0,61.0,38.0,61.0,26.0,61.0,108.0
9,61.0,2.0,61.0,36.0,61.0,61.0,61.0,61.0,61.0,73.0,61.0,61.0,61.0,54.0,61.0,19.0,61.0,61.0,61.0,10.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,64.0,61.0,61.0,61.0,13.0,61.0,48.0,61.0,8.0,61.0,114.0,61.0,127.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,13.0
10,61.0,2.0,61.0,85.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,76.0,61.0,55.0,61.0,12.0,61.0,45.0,61.0,34.0,61.0,2.0,61.0,8.0,61.0,35.0,61.0,13.0,61.0,34.0,61.0,88.0,61.0,26.0,61.0,127.0
11,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,67.0,61.0,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,55.0,61.0,61.0,61.0,6.0,61.0,48.0,61.0,1.0,61.0,114.0,61.0,127.0,61.0,53.0,61.0,38.0,61.0,26.0,61.0,127.0
12,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,67.0,61.0,26.0,61.0,54.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,37.0,61.0,55.0,61.0,61.0,61.0,37.0,61.0,48.0,61.0,8.0,61.0,24.0,61.0,127.0,61.0,34.0,61.0,38.0,61.0,28.0,61.0,34.0
13,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,67.0,61.0,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,55.0,61.0,61.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,114.0,61.0,127.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
14,61.0,2.0,61.0,61.0,61.0,61.0,61.0,47.0,61.0,67.0,61.0,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,55.0,61.0,1.0,61.0,6.0,61.0,48.0,61.0,8.0,61.0,114.0,61.0,127.0,61.0,34.0,61.0,38.0,61.0,26.0,61.0,127.0
15,61.0,2.0,61.0,61.0,61.0,61.0,61.0,36.0,61.0,67.0,61.0,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,46.0,61.0,55.0,61.0,20.0,61.0,6.0,61.0,86.0,61.0,8.0,61.0,114.0,61.0,127.0,61.0,34.0,61.0,0.0,61.0,26.0,61.0,127.0
