,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,239.0,0.0,308.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,107.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,201.0,0.0,273.0
1,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,141.0,0.0,203.0,0.0,205.0,0.0,419.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
2,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,141.0,0.0,205.0,0.0,241.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
3,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,270.0,0.0,140.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
4,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,65.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,175.0,0.0,141.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
5,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,344.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,141.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,205.0,0.0,273.0
6,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,343.0,0.0,308.0,0.0,92.0,0.0,95.0,0.0,130.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,102.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,307.0,0.0,141.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
7,0.0,8.0,0.0,26.0,0.0,6.0,0.0,238.0,0.0,306.0,0.0,235.0,0.0,265.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,343.0,0.0,311.0,0.0,92.0,0.0,95.0,0.0,164.0,0.0,101.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,14.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,141.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
8,0.0,8.0,0.0,9.0,0.0,46.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,202.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,275.0,0.0,308.0,0.0,92.0,0.0,94.0,0.0,130.0,0.0,101.0,0.0,103.0,0.0,101.0,0.0,66.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,103.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,418.0,0.0,239.0,0.0,239.0,0.0,273.0
9,0.0,8.0,0.0,46.0,0.0,46.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,308.0,0.0,131.0,0.0,308.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,101.0,0.0,103.0,0.0,101.0,0.0,136.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,141.0,0.0,37.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
10,0.0,8.0,0.0,46.0,0.0,46.0,0.0,235.0,0.0,235.0,0.0,231.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,308.0,0.0,38.0,0.0,308.0,0.0,308.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,101.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,102.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,104.0,0.0,141.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
11,0.0,8.0,0.0,46.0,0.0,46.0,0.0,235.0,0.0,237.0,0.0,231.0,0.0,235.0,0.0,235.0,0.0,235.0,0.0,131.0,0.0,308.0,0.0,308.0,0.0,342.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,101.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,100.0,0.0,101.0,0.0,101.0,0.0,137.0,0.0,144.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,202.0,0.0,239.0,0.0,273.0
12,0.0,8.0,0.0,46.0,0.0,46.0,0.0,235.0,0.0,237.0,0.0,231.0,0.0,235.0,0.0,274.0,0.0,235.0,0.0,308.0,0.0,345.0,0.0,308.0,0.0,308.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,64.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,141.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,273.0
13,0.0,8.0,0.0,46.0,0.0,46.0,0.0,235.0,0.0,237.0,0.0,231.0,0.0,234.0,0.0,235.0,0.0,55.0,0.0,308.0,0.0,308.0,0.0,308.0,0.0,308.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,64.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,141.0,0.0,102.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,43.0,0.0,239.0,0.0,276.0
14,0.0,8.0,0.0,38.0,0.0,46.0,0.0,235.0,0.0,237.0,0.0,231.0,0.0,235.0,0.0,235.0,0.0,55.0,0.0,270.0,0.0,308.0,0.0,308.0,0.0,350.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,64.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,64.0,0.0,107.0,0.0,141.0,0.0,138.0,0.0,205.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,276.0
15,0.0,8.0,0.0,38.0,0.0,46.0,0.0,272.0,0.0,237.0,0.0,231.0,0.0,235.0,0.0,235.0,0.0,55.0,0.0,308.0,0.0,308.0,0.0,271.0,0.0,308.0,0.0,92.0,0.0,130.0,0.0,130.0,0.0,64.0,0.0,103.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,101.0,0.0,175.0,0.0,143.0,0.0,0.0,0.0,205.0,0.0,384.0,0.0,384.0,0.0,239.0,0.0,239.0,0.0,276.0
