,0,1,2,3,4,5,6,7,8,9,10,11
0,5.0,31.0,5.0,5.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,32.0
1,5.0,31.0,5.0,15.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,37.0
2,5.0,31.0,5.0,5.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,10.0
3,5.0,31.0,5.0,5.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,33.0
4,5.0,31.0,5.0,5.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,1.0
5,5.0,31.0,5.0,15.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,17.0
6,5.0,31.0,5.0,5.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,32.0
7,5.0,31.0,5.0,5.0,5.0,27.0,5.0,35.0,5.0,32.0,5.0,32.0
8,5.0,31.0,5.0,5.0,5.0,23.0,5.0,8.0,5.0,22.0,5.0,32.0
9,5.0,31.0,5.0,1.0,5.0,22.0,5.0,0.0,5.0,22.0,5.0,33.0
10,5.0,31.0,5.0,20.0,5.0,10.0,5.0,0.0,5.0,22.0,5.0,32.0
11,5.0,31.0,5.0,5.0,5.0,22.0,5.0,0.0,5.0,22.0,5.0,28.0
12,5.0,31.0,5.0,5.0,5.0,13.0,5.0,0.0,5.0,14.0,5.0,32.0
13,5.0,31.0,5.0,5.0,5.0,22.0,5.0,5.0,5.0,22.0,5.0,32.0
14,5.0,31.0,5.0,1.0,5.0,27.0,5.0,0.0,5.0,10.0,5.0,22.0
15,5.0,31.0,5.0,1.0,5.0,17.0,5.0,0.0,5.0,27.0,5.0,2.0
16,5.0,31.0,5.0,5.0,5.0,27.0,5.0,0.0,5.0,22.0,5.0,32.0
17,5.0,31.0,5.0,9.0,5.0,22.0,5.0,0.0,5.0,22.0,5.0,32.0
18,5.0,31.0,5.0,5.0,5.0,17.0,5.0,0.0,5.0,22.0,5.0,32.0
19,5.0,31.0,5.0,5.0,5.0,17.0,5.0,0.0,5.0,12.0,5.0,11.0
20,5.0,31.0,5.0,5.0,5.0,8.0,5.0,10.0,5.0,11.0,5.0,17.0
21,5.0,31.0,5.0,5.0,5.0,22.0,5.0,0.0,5.0,22.0,5.0,1.0
22,5.0,31.0,5.0,5.0,5.0,11.0,5.0,0.0,5.0,22.0,5.0,23.0
23,5.0,31.0,5.0,5.0,5.0,22.0,5.0,4.0,5.0,5.0,5.0,14.0
24,5.0,31.0,5.0,5.0,5.0,23.0,5.0,0.0,5.0,22.0,5.0,20.0
25,5.0,31.0,5.0,5.0,5.0,22.0,5.0,5.0,5.0,19.0,5.0,32.0
26,5.0,31.0,5.0,5.0,5.0,22.0,5.0,10.0,5.0,22.0,5.0,3.0
27,5.0,31.0,5.0,10.0,5.0,22.0,5.0,0.0,5.0,42.0,5.0,32.0
