,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,94.0,828.0,140.0,828.0,140.0,828.0,280.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,23.0,828.0,828.0,828.0,8.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,0.0,828.0,38.0
1,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,30.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,0.0,828.0,69.0,828.0,0.0,828.0,6.0,828.0,140.0,828.0,276.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,415.0,828.0,828.0,828.0,368.0,828.0,38.0,828.0,38.0
2,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,300.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,249.0,828.0,450.0,828.0,426.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,828.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,60.0,828.0,35.0,828.0,10.0,828.0,10.0,828.0,0.0,828.0,2.0,828.0,38.0,828.0,38.0
3,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,920.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,623.0,828.0,69.0,828.0,69.0,828.0,828.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,1104.0,828.0,5.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
4,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,80.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,400.0,828.0,450.0,828.0,0.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,0.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,828.0,828.0,0.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,15.0,828.0,10.0,828.0,828.0,828.0,0.0,828.0,76.0,828.0,38.0
5,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,200.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,267.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,644.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,460.0,828.0,38.0,828.0,38.0
6,828.0,1380.0,828.0,178.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,50.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,100.0,828.0,644.0,828.0,552.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,0.0,828.0,6.0,828.0,6.0,828.0,344.0,828.0,828.0,828.0,325.0,828.0,5.0,828.0,5.0,828.0,26.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
7,828.0,1380.0,828.0,0.0,828.0,450.0,828.0,140.0,828.0,150.0,828.0,2.0,828.0,38.0,828.0,2.0,828.0,14.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,100.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,0.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
8,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,4.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,460.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,138.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,0.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,0.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,92.0,828.0,2.0,828.0,38.0,828.0,38.0
9,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,14.0,828.0,8.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,644.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,200.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,0.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,30.0,828.0,10.0,828.0,5.0,828.0,41.0,828.0,10.0,828.0,10.0,828.0,35.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
