,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,355.0,368.0,568.0,368.0,142.0,368.0,368.0,368.0,0.0,368.0,1656.0,368.0,213.0,368.0,92.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,1068.0,368.0,213.0
1,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,1656.0,368.0,213.0,368.0,460.0,368.0,213.0,368.0,368.0,368.0,581.0,368.0,1068.0,368.0,213.0
2,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,1656.0,368.0,267.0,368.0,0.0,368.0,213.0,368.0,368.0,368.0,178.0,368.0,1068.0,368.0,213.0
3,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,184.0,368.0,368.0,368.0,1288.0,368.0,1656.0,368.0,213.0,368.0,0.0,368.0,213.0,368.0,368.0,368.0,92.0,368.0,890.0,368.0,213.0
4,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,92.0,368.0,213.0,368.0,92.0,368.0,355.0,368.0,368.0,368.0,828.0,368.0,1068.0,368.0,213.0
5,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,1656.0,368.0,213.0,368.0,92.0,368.0,213.0,368.0,368.0,368.0,184.0,368.0,801.0,368.0,213.0
6,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,1656.0,368.0,142.0,368.0,92.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,329.0,368.0,426.0
7,368.0,1104.0,368.0,368.0,368.0,267.0,368.0,1656.0,368.0,213.0,368.0,142.0,368.0,568.0,368.0,71.0,368.0,368.0,368.0,0.0,368.0,1656.0,368.0,213.0,368.0,92.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,1068.0,368.0,213.0
8,368.0,1104.0,368.0,368.0,368.0,1068.0,368.0,736.0,368.0,639.0,368.0,142.0,368.0,142.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,1656.0,368.0,213.0,368.0,92.0,368.0,213.0,368.0,828.0,368.0,368.0,368.0,623.0,368.0,213.0
9,368.0,1104.0,368.0,368.0,368.0,1068.0,368.0,736.0,368.0,142.0,368.0,142.0,368.0,142.0,368.0,142.0,368.0,368.0,368.0,1288.0,368.0,0.0,368.0,213.0,368.0,92.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,1068.0,368.0,213.0
