,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,276.0,552.0,368.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,400.0,552.0,552.0,552.0,712.0,552.0,552.0,552.0,184.0,552.0,602.0,552.0,552.0,552.0,0.0,552.0,460.0
1,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,552.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,0.0,552.0,560.0,552.0,552.0,552.0,178.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
2,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,552.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,0.0,552.0,178.0,552.0,184.0,552.0,415.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
3,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,552.0,552.0,552.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,552.0,552.0,178.0,552.0,552.0,552.0,498.0,552.0,0.0,552.0,552.0,552.0,0.0,552.0,460.0
4,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,0.0,552.0,92.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,552.0,552.0,740.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,92.0,552.0,460.0
5,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,0.0,552.0,92.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,240.0,552.0,552.0,552.0,178.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
6,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,1196.0,552.0,92.0,552.0,92.0,552.0,552.0,552.0,534.0,552.0,720.0,552.0,552.0,552.0,178.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,0.0,552.0,0.0,552.0,92.0
7,552.0,498.0,552.0,623.0,552.0,640.0,552.0,480.0,552.0,560.0,552.0,480.0,552.0,1157.0,552.0,89.0,552.0,552.0,552.0,0.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,552.0,552.0,0.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
8,552.0,498.0,552.0,623.0,552.0,736.0,552.0,640.0,552.0,640.0,552.0,480.0,552.0,712.0,552.0,89.0,552.0,552.0,552.0,92.0,552.0,92.0,552.0,552.0,552.0,0.0,552.0,320.0,552.0,552.0,552.0,178.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
9,552.0,498.0,552.0,623.0,552.0,736.0,552.0,640.0,552.0,640.0,552.0,0.0,552.0,712.0,552.0,89.0,552.0,552.0,552.0,92.0,552.0,0.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,552.0,552.0,0.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
10,552.0,498.0,552.0,623.0,552.0,368.0,552.0,640.0,552.0,640.0,552.0,480.0,552.0,712.0,552.0,89.0,552.0,552.0,552.0,0.0,552.0,460.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,460.0,552.0,178.0,552.0,0.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,0.0,552.0,460.0
11,552.0,498.0,552.0,623.0,552.0,736.0,552.0,640.0,552.0,640.0,552.0,480.0,552.0,712.0,552.0,534.0,552.0,552.0,552.0,92.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,560.0,552.0,552.0,552.0,178.0,552.0,552.0,552.0,498.0,552.0,498.0,552.0,552.0,552.0,92.0,552.0,460.0
