,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,280.0,552.0,552.0,552.0,890.0,552.0,920.0,552.0,296.0,552.0,814.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,8.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,184.0,552.0,0.0,552.0,30.0,552.0,210.0,552.0,20.0,552.0,10.0,552.0,0.0,552.0,0.0,552.0,30.0,552.0,0.0,552.0,890.0,552.0,92.0,552.0,20.0,552.0,276.0,552.0,828.0,552.0,1380.0,552.0,30.0,552.0,30.0,552.0,852.0,552.0,0.0,552.0,70.0
1,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,413.0,552.0,413.0,552.0,644.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,552.0,552.0,920.0,552.0,296.0,552.0,296.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,25.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,814.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,178.0,552.0,184.0,552.0,0.0,552.0,20.0,552.0,15.0,552.0,276.0,552.0,92.0,552.0,30.0,552.0,356.0,552.0,15.0,552.0,10.0,552.0,
2,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,178.0,552.0,472.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,92.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,552.0,552.0,1104.0,552.0,296.0,552.0,1104.0,552.0,296.0,552.0,166.0,552.0,20.0,552.0,12.0,552.0,30.0,552.0,30.0,552.0,1628.0,552.0,30.0,552.0,30.0,552.0,900.0,552.0,30.0,552.0,0.0,552.0,0.0,552.0,100.0,552.0,90.0,552.0,30.0,552.0,0.0,552.0,890.0,552.0,0.0,552.0,15.0,552.0,15.0,552.0,0.0,552.0,92.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,10.0,552.0,
3,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,413.0,552.0,354.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,0.0,552.0,552.0,552.0,552.0,552.0,920.0,552.0,296.0,552.0,296.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,30.0,552.0,128.0,552.0,5.0,552.0,10.0,552.0,30.0,552.0,105.0,552.0,0.0,552.0,0.0,552.0,1380.0,552.0,30.0,552.0,25.0,552.0,30.0,552.0,0.0,552.0,890.0,552.0,0.0,552.0,89.0,552.0,15.0,552.0,0.0,552.0,92.0,552.0,30.0,552.0,30.0,552.0,0.0,552.0,5.0,552.0,
4,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,552.0,552.0,920.0,552.0,296.0,552.0,0.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,0.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,220.0,552.0,260.0,552.0,30.0,552.0,30.0,552.0,80.0,552.0,25.0,552.0,92.0,552.0,0.0,552.0,890.0,552.0,0.0,552.0,15.0,552.0,15.0,552.0,15.0,552.0,92.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,10.0,552.0,
5,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,413.0,552.0,0.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,552.0,552.0,920.0,552.0,296.0,552.0,296.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,222.0,552.0,0.0,552.0,455.0,552.0,0.0,552.0,30.0,552.0,30.0,552.0,276.0,552.0,30.0,552.0,552.0,552.0,8.0,552.0,30.0,552.0,30.0,552.0,368.0,552.0,890.0,552.0,89.0,552.0,0.0,552.0,159.0,552.0,15.0,552.0,92.0,552.0,10.0,552.0,30.0,552.0,30.0,552.0,0.0,552.0,
6,552.0,1196.0,552.0,1196.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,472.0,552.0,413.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,552.0,552.0,920.0,552.0,296.0,552.0,296.0,552.0,296.0,552.0,12.0,552.0,534.0,552.0,12.0,552.0,0.0,552.0,232.0,552.0,0.0,552.0,460.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,30.0,552.0,10.0,552.0,890.0,552.0,0.0,552.0,15.0,552.0,148.0,552.0,15.0,552.0,92.0,552.0,30.0,552.0,92.0,552.0,30.0,552.0,0.0,552.0,
7,552.0,1196.0,552.0,1748.0,552.0,890.0,552.0,267.0,552.0,12.0,552.0,267.0,552.0,472.0,552.0,413.0,552.0,184.0,552.0,356.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,552.0,552.0,920.0,552.0,148.0,552.0,296.0,552.0,370.0,552.0,12.0,552.0,12.0,552.0,0.0,552.0,552.0,552.0,30.0,552.0,0.0,552.0,75.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,30.0,552.0,205.0,552.0,0.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,890.0,552.0,0.0,552.0,15.0,552.0,15.0,552.0,15.0,552.0,92.0,552.0,30.0,552.0,92.0,552.0,368.0,552.0,0.0,552.0,
8,552.0,1196.0,552.0,1196.0,552.0,178.0,552.0,92.0,552.0,552.0,552.0,267.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,460.0,552.0,552.0,552.0,920.0,552.0,296.0,552.0,296.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,92.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,95.0,552.0,552.0,552.0,0.0,552.0,30.0,552.0,284.0,552.0,30.0,552.0,184.0,552.0,184.0,552.0,30.0,552.0,890.0,552.0,0.0,552.0,15.0,552.0,15.0,552.0,5.0,552.0,0.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,4.0,552.0,
9,552.0,1196.0,552.0,1196.0,552.0,178.0,552.0,178.0,552.0,552.0,552.0,0.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,552.0,552.0,184.0,552.0,472.0,552.0,552.0,552.0,184.0,552.0,920.0,552.0,296.0,552.0,222.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,30.0,552.0,30.0,552.0,5.0,552.0,0.0,552.0,0.0,552.0,92.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,30.0,552.0,138.0,552.0,0.0,552.0,30.0,552.0,0.0,552.0,0.0,552.0,15.0,552.0,15.0,552.0,195.0,552.0,92.0,552.0,30.0,552.0,5.0,552.0,30.0,552.0,10.0,552.0,
10,552.0,1196.0,552.0,1196.0,552.0,178.0,552.0,178.0,552.0,552.0,552.0,267.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,413.0,552.0,552.0,552.0,472.0,552.0,472.0,552.0,552.0,552.0,1068.0,552.0,920.0,552.0,296.0,552.0,296.0,552.0,296.0,552.0,12.0,552.0,12.0,552.0,12.0,552.0,0.0,552.0,222.0,552.0,25.0,552.0,30.0,552.0,30.0,552.0,460.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,30.0,552.0,0.0,552.0,890.0,552.0,0.0,552.0,0.0,552.0,15.0,552.0,15.0,552.0,1012.0,552.0,30.0,552.0,0.0,552.0,30.0,552.0,10.0,552.0,
