,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,182.0,828.0,888.0,828.0,888.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,222.0,828.0,2.0,828.0,552.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,40.0,828.0,2.0,828.0,0.0,828.0,8.0,828.0,2.0,828.0,6.0,828.0,0.0,828.0,2.0,828.0,150.0,828.0,445.0,828.0,0.0,828.0,0.0,828.0,187.0,828.0,121.0,828.0,92.0,828.0,11.0,828.0,11.0,828.0,11.0,828.0,0.0,828.0,5.0,828.0,0.0,828.0,35.0,828.0,35.0
1,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,888.0,828.0,222.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,497.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,639.0,828.0,0.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,2.0,828.0,0.0,828.0,236.0,828.0,26.0,828.0,88.0,828.0,2.0,828.0,444.0,828.0,356.0,828.0,2.0,828.0,0.0,828.0,187.0,828.0,0.0,828.0,11.0,828.0,2.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,920.0,828.0,0.0,828.0,0.0,828.0,0.0
2,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,888.0,828.0,166.0,828.0,0.0,828.0,828.0,828.0,92.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,0.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,639.0,828.0,2.0,828.0,962.0,828.0,160.0,828.0,444.0,828.0,38.0,828.0,444.0,828.0,2.0,828.0,2.0,828.0,22.0,828.0,2.0,828.0,2.0,828.0,6.0,828.0,50.0,828.0,267.0,828.0,534.0,828.0,142.0,828.0,10.0,828.0,187.0,828.0,0.0,828.0,11.0,828.0,74.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,0.0
3,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,276.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,639.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,92.0,828.0,0.0,828.0,2.0,828.0,26.0,828.0,148.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,150.0,828.0,0.0,828.0,4.0,828.0,10.0,828.0,187.0,828.0,0.0,828.0,28.0,828.0,0.0,828.0,888.0,828.0,0.0,828.0,25.0,828.0,184.0,828.0,50.0,828.0,5.0,828.0,0.0
4,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,962.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,736.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,92.0,828.0,276.0,828.0,639.0,828.0,2.0,828.0,74.0,828.0,65.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,258.0,828.0,32.0,828.0,2.0,828.0,14.0,828.0,564.0,828.0,568.0,828.0,0.0,828.0,187.0,828.0,0.0,828.0,1564.0,828.0,65.0,828.0,888.0,828.0,11.0,828.0,256.0,828.0,0.0,828.0,240.0,828.0,65.0,828.0,0.0
5,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,666.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,568.0,828.0,539.0,828.0,2.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,1380.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,368.0,828.0,2.0,828.0,2.0,828.0,801.0,828.0,22.0,828.0,172.0,828.0,34.0,828.0,22.0,828.0,82.0,828.0,0.0,828.0,888.0,828.0,154.0,828.0,184.0,828.0,0.0,828.0,364.0,828.0,4.0,828.0,0.0
6,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,888.0,828.0,148.0,828.0,888.0,828.0,828.0,828.0,92.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,0.0,828.0,276.0,828.0,276.0,828.0,639.0,828.0,2.0,828.0,92.0,828.0,4.0,828.0,4.0,828.0,2.0,828.0,560.0,828.0,0.0,828.0,2.0,828.0,17.0,828.0,6.0,828.0,2.0,828.0,22.0,828.0,2.0,828.0,2.0,828.0,267.0,828.0,22.0,828.0,1012.0,828.0,187.0,828.0,11.0,828.0,0.0,828.0,182.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,5.0,828.0,740.0,828.0,145.0,828.0,0.0
7,828.0,801.0,828.0,534.0,828.0,979.0,828.0,639.0,828.0,1246.0,828.0,828.0,828.0,888.0,828.0,234.0,828.0,888.0,828.0,539.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,639.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,12.0,828.0,184.0,828.0,16.0,828.0,2.0,828.0,28.0,828.0,74.0,828.0,184.0,828.0,4.0,828.0,455.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,0.0,828.0,22.0,828.0,0.0,828.0,74.0,828.0,1104.0,828.0,0.0,828.0,888.0,828.0,11.0,828.0,2.0,828.0,0.0,828.0,0.0,828.0,92.0,828.0,0.0
8,828.0,801.0,828.0,828.0,828.0,801.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,260.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,994.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,0.0,828.0,59.0,828.0,2.0,828.0,26.0,828.0,2.0,828.0,1104.0,828.0,0.0,828.0,0.0,828.0,1184.0,828.0,159.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,34.0,828.0,445.0,828.0,22.0,828.0,0.0,828.0,187.0,828.0,0.0,828.0,44.0,828.0,0.0,828.0,888.0,828.0,1040.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,0.0
9,828.0,801.0,828.0,828.0,828.0,801.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,552.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,1065.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,4.0,828.0,65.0,828.0,2.0,828.0,2.0,828.0,455.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,22.0,828.0,22.0,828.0,187.0,828.0,33.0,828.0,22.0,828.0,0.0,828.0,888.0,828.0,368.0,828.0,0.0,828.0,30.0,828.0,0.0,828.0,0.0,828.0,0.0
