,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,63.0,36.0,63.0,61.0,63.0,22.0,63.0,86.0,63.0,54.0,63.0,61.0,63.0,31.0,63.0,61.0,63.0,36.0,63.0,61.0,63.0,61.0,63.0,65.0,63.0,61.0,63.0,23.0,63.0,98.0,63.0,36.0,63.0,36.0,63.0,127.0,63.0,22.0,63.0,77.0,63.0,87.0,63.0,18.0,63.0,127.0,63.0,0.0,63.0,183.0
1,61.0,36.0,61.0,61.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,65.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,36.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,29.0,61.0,127.0,61.0,77.0,61.0,183.0
2,61.0,36.0,61.0,3.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,36.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,65.0,61.0,77.0,61.0,183.0
3,61.0,36.0,61.0,61.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,27.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,85.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,0.0,61.0,127.0,61.0,39.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
4,61.0,36.0,61.0,61.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,29.0,61.0,34.0,61.0,23.0,61.0,52.0,61.0,36.0,61.0,127.0,61.0,94.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,158.0,61.0,94.0
5,61.0,36.0,61.0,61.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,85.0,61.0,31.0,61.0,1.0,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,44.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,3.0,61.0,0.0,61.0,2.0,61.0,127.0,61.0,77.0,61.0,183.0
6,61.0,36.0,61.0,61.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,13.0,61.0,31.0,61.0,98.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
7,61.0,36.0,61.0,61.0,61.0,22.0,61.0,86.0,61.0,54.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,29.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,87.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,0.0,61.0,183.0
8,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,51.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,42.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,44.0
9,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,55.0,61.0,36.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
10,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,89.0,61.0,61.0,61.0,6.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,100.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,22.0,61.0,183.0
11,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,85.0,61.0,77.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,72.0,61.0,127.0,61.0,10.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
12,61.0,36.0,61.0,42.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,74.0,61.0,61.0,61.0,28.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,20.0,61.0,16.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,12.0
13,61.0,36.0,61.0,27.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,39.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,20.0,61.0,23.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,66.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,3.0,61.0,80.0
14,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,78.0,61.0,23.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,16.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,15.0
15,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,16.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,36.0,61.0,77.0,61.0,0.0,61.0,0.0,61.0,127.0,61.0,77.0,61.0,183.0
16,61.0,36.0,61.0,42.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,35.0,61.0,61.0,61.0,50.0,61.0,61.0,61.0,23.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,86.0,61.0,127.0,61.0,77.0,61.0,183.0
17,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,72.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,1.0,61.0,61.0,61.0,59.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,21.0,61.0,78.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
18,61.0,36.0,61.0,70.0,61.0,97.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,37.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,46.0,61.0,127.0,61.0,77.0,61.0,94.0
19,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,20.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
20,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,77.0,61.0,18.0,61.0,15.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,20.0,61.0,36.0,61.0,6.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,5.0,61.0,127.0,61.0,0.0,61.0,183.0
21,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,17.0,61.0,61.0,61.0,61.0,61.0,20.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,36.0,61.0,36.0,61.0,127.0,61.0,127.0,61.0,22.0,61.0,29.0,61.0,0.0,61.0,18.0,61.0,127.0,61.0,77.0,61.0,183.0
22,61.0,36.0,61.0,61.0,61.0,61.0,61.0,15.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,83.0,61.0,61.0,61.0,61.0,61.0,27.0,61.0,23.0,61.0,98.0,61.0,56.0,61.0,127.0,61.0,127.0,61.0,13.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,66.0,61.0,77.0,61.0,183.0
23,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,23.0,61.0,98.0,61.0,36.0,61.0,22.0,61.0,127.0,61.0,22.0,61.0,18.0,61.0,0.0,61.0,72.0,61.0,127.0,61.0,0.0,61.0,183.0
24,61.0,36.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,36.0,61.0,61.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,88.0,61.0,98.0,61.0,51.0,61.0,57.0,61.0,127.0,61.0,22.0,61.0,77.0,61.0,0.0,61.0,18.0,61.0,70.0,61.0,77.0,61.0,183.0
