,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,178.0,92.0,0.0,92.0,92.0,92.0,184.0,92.0,0.0,92.0,89.0
1,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,552.0,92.0,1196.0,92.0,276.0
2,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,184.0,92.0,92.0,92.0,0.0,92.0,552.0,92.0,89.0
3,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,89.0
4,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,644.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,552.0,92.0,644.0,92.0,89.0
5,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,276.0,92.0,92.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,74.0,92.0,880.0,92.0,89.0
6,92.0,712.0,92.0,184.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,736.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,552.0,92.0,92.0,92.0,89.0
7,92.0,712.0,92.0,368.0,92.0,83.0,92.0,581.0,92.0,1196.0,92.0,368.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,267.0,92.0,1196.0,92.0,89.0
8,92.0,712.0,92.0,368.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,0.0,92.0,460.0,92.0,0.0,92.0,89.0
9,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,368.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,445.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,276.0,92.0,0.0
10,92.0,712.0,92.0,0.0,92.0,92.0,92.0,415.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,368.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,89.0
11,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,368.0,92.0,0.0,92.0,92.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0
12,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0
13,92.0,712.0,92.0,0.0,92.0,828.0,92.0,332.0,92.0,828.0,92.0,368.0,92.0,712.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0
14,92.0,712.0,92.0,368.0,92.0,0.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,368.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,460.0,92.0,1196.0,92.0,89.0
15,92.0,712.0,92.0,92.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,460.0,92.0,89.0
16,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,498.0,92.0,89.0
17,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0
18,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,0.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,240.0,92.0,92.0,92.0,430.0,92.0,89.0
