,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,340.0,552.0,296.0,552.0,340.0,552.0,176.0,552.0,176.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,68.0,552.0,340.0,552.0,552.0,552.0,267.0,552.0,178.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,0.0,552.0,236.0,552.0,86.0,552.0,83.0,552.0,249.0,552.0,415.0,552.0,552.0,552.0,552.0
1,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,340.0,552.0,296.0,552.0,612.0,552.0,176.0,552.0,176.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,136.0,552.0,258.0,552.0,552.0,552.0,267.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,460.0,552.0,249.0,552.0,178.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
2,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,340.0,552.0,296.0,552.0,340.0,552.0,176.0,552.0,176.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,68.0,552.0,68.0,552.0,552.0,552.0,267.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,460.0,552.0,415.0,552.0,0.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
3,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,340.0,552.0,296.0,552.0,340.0,552.0,484.0,552.0,176.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,68.0,552.0,68.0,552.0,552.0,552.0,267.0,552.0,445.0,552.0,368.0,552.0,340.0,552.0,445.0,552.0,460.0,552.0,184.0,552.0,166.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,92.0,552.0,552.0
4,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,430.0,552.0,296.0,552.0,340.0,552.0,176.0,552.0,88.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,68.0,552.0,0.0,552.0,552.0,552.0,267.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,184.0,552.0,166.0,552.0,0.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
5,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,0.0,552.0,296.0,552.0,68.0,552.0,176.0,552.0,176.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,736.0,552.0,68.0,552.0,552.0,552.0,74.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,0.0,552.0,83.0,552.0,0.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
6,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,0.0,552.0,296.0,552.0,340.0,552.0,176.0,552.0,267.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,68.0,552.0,68.0,552.0,552.0,552.0,267.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,460.0,552.0,770.0,552.0,100.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
7,552.0,340.0,552.0,445.0,552.0,801.0,552.0,176.0,552.0,408.0,552.0,340.0,552.0,296.0,552.0,340.0,552.0,176.0,552.0,267.0,552.0,220.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,68.0,552.0,68.0,552.0,552.0,552.0,267.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,460.0,552.0,0.0,552.0,166.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
8,552.0,340.0,552.0,1068.0,552.0,1157.0,552.0,1068.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,176.0,552.0,267.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,801.0,552.0,68.0,552.0,828.0,552.0,267.0,552.0,712.0,552.0,552.0,552.0,340.0,552.0,408.0,552.0,460.0,552.0,276.0,552.0,92.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
9,552.0,340.0,552.0,1068.0,552.0,1068.0,552.0,1068.0,552.0,612.0,552.0,0.0,552.0,340.0,552.0,340.0,552.0,176.0,552.0,267.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,1020.0,552.0,68.0,552.0,552.0,552.0,0.0,552.0,712.0,552.0,0.0,552.0,340.0,552.0,0.0,552.0,460.0,552.0,166.0,552.0,332.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
10,552.0,340.0,552.0,1068.0,552.0,1068.0,552.0,1068.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,176.0,552.0,267.0,552.0,176.0,552.0,296.0,552.0,296.0,552.0,0.0,552.0,1036.0,552.0,68.0,552.0,552.0,552.0,267.0,552.0,736.0,552.0,920.0,552.0,340.0,552.0,408.0,552.0,460.0,552.0,166.0,552.0,332.0,552.0,83.0,552.0,249.0,552.0,1079.0,552.0,552.0,552.0,552.0
