,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,63.0,5.0,63.0,61.0,63.0,68.0,63.0,40.0,63.0,45.0,63.0,61.0,63.0,29.0,63.0,61.0,63.0,61.0,63.0,61.0,63.0,61.0,63.0,61.0,63.0,111.0,63.0,147.0,63.0,111.0,63.0,111.0,63.0,47.0,63.0,5.0,63.0,72.0,63.0,161.0,63.0,47.0,63.0,67.0,63.0,60.0,63.0,12.0,63.0,28.0,63.0,42.0,63.0,156.0
1,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,111.0,61.0,147.0,61.0,111.0,61.0,17.0,61.0,47.0,61.0,24.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,75.0,61.0,113.0,61.0,28.0,61.0,0.0,61.0,0.0
2,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,3.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,111.0,61.0,147.0,61.0,111.0,61.0,89.0,61.0,47.0,61.0,5.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,154.0,61.0,113.0,61.0,3.0,61.0,0.0,61.0,156.0
3,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,111.0,61.0,147.0,61.0,111.0,61.0,77.0,61.0,47.0,61.0,5.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,7.0,61.0,91.0,61.0,35.0,61.0,3.0,61.0,45.0,61.0,31.0
4,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,111.0,61.0,147.0,61.0,36.0,61.0,111.0,61.0,47.0,61.0,5.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,0.0,61.0,113.0,61.0,3.0,61.0,45.0,61.0,156.0
5,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,61.0,61.0,29.0,61.0,70.0,61.0,3.0,61.0,56.0,61.0,61.0,61.0,55.0,61.0,111.0,61.0,147.0,61.0,111.0,61.0,111.0,61.0,47.0,61.0,5.0,61.0,22.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,0.0,61.0,83.0,61.0,51.0,61.0,45.0,61.0,22.0
6,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,111.0,61.0,147.0,61.0,111.0,61.0,111.0,61.0,47.0,61.0,13.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,182.0,61.0,44.0,61.0,3.0,61.0,45.0,61.0,84.0
7,61.0,5.0,61.0,61.0,61.0,68.0,61.0,40.0,61.0,45.0,61.0,61.0,61.0,29.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,44.0,61.0,147.0,61.0,111.0,61.0,111.0,61.0,73.0,61.0,5.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,40.0,61.0,182.0,61.0,113.0,61.0,3.0,61.0,45.0,61.0,0.0
8,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,12.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,125.0,61.0,111.0,61.0,111.0,61.0,12.0,61.0,47.0,61.0,18.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,182.0,61.0,113.0,61.0,3.0,61.0,20.0,61.0,11.0
9,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,100.0,61.0,61.0,61.0,29.0,61.0,34.0,61.0,61.0,61.0,125.0,61.0,111.0,61.0,111.0,61.0,89.0,61.0,47.0,61.0,21.0,61.0,72.0,61.0,161.0,61.0,47.0,61.0,67.0,61.0,182.0,61.0,113.0,61.0,3.0,61.0,45.0,61.0,84.0
