,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,71.0,828.0,828.0,828.0,356.0,828.0,460.0,828.0,1136.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,0.0,828.0,639.0,828.0,774.0,828.0,0.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,20.0,828.0,40.0,828.0,60.0,828.0,10.0,828.0,528.0,828.0,639.0
1,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,828.0,828.0,0.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,35.0,828.0,1012.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,644.0,828.0,258.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,1068.0,828.0,560.0,828.0,356.0,828.0,25.0,828.0,528.0,828.0,639.0
2,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,142.0,828.0,1136.0,828.0,1136.0,828.0,0.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,26.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,92.0,828.0,639.0,828.0,774.0,828.0,455.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,1068.0,828.0,41.0,828.0,75.0,828.0,0.0,828.0,528.0,828.0,497.0
3,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,344.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,130.0,828.0,130.0,828.0,1204.0,828.0,130.0,828.0,1068.0,828.0,267.0,828.0,0.0,828.0,10.0,828.0,528.0,828.0,639.0
4,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1065.0,828.0,1136.0,828.0,2.0,828.0,472.0,828.0,16.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,92.0,828.0,0.0,828.0,0.0,828.0,639.0,828.0,774.0,828.0,130.0,828.0,130.0,828.0,910.0,828.0,1246.0,828.0,1068.0,828.0,0.0,828.0,15.0,828.0,0.0,828.0,528.0,828.0,639.0
5,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,0.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,1104.0,828.0,2.0,828.0,2.0,828.0,141.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,213.0,828.0,602.0,828.0,24.0,828.0,130.0,828.0,910.0,828.0,65.0,828.0,1068.0,828.0,15.0,828.0,368.0,828.0,8.0,828.0,528.0,828.0,639.0
6,828.0,801.0,828.0,178.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,213.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,0.0,828.0,26.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,497.0,828.0,602.0,828.0,0.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,0.0,828.0,141.0,828.0,148.0,828.0,10.0,828.0,70.0,828.0,639.0
7,828.0,801.0,828.0,89.0,828.0,623.0,828.0,1136.0,828.0,1068.0,828.0,639.0,828.0,774.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,130.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,1068.0,828.0,0.0,828.0,644.0,828.0,182.0,828.0,70.0,828.0,639.0
8,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,920.0,828.0,356.0,828.0,1136.0,828.0,1207.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,284.0,828.0,1196.0,828.0,828.0,828.0,828.0,828.0,774.0,828.0,4.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,1068.0,828.0,276.0,828.0,0.0,828.0,45.0,828.0,5.0,828.0,639.0
9,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,497.0,828.0,828.0,828.0,1068.0,828.0,284.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,994.0,828.0,2.0,828.0,83.0,828.0,92.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,390.0,828.0,130.0,828.0,910.0,828.0,130.0,828.0,1068.0,828.0,20.0,828.0,0.0,828.0,45.0,828.0,70.0,828.0,639.0
