,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,207.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,114.0,0.0,20.0,0.0,114.0,0.0,44.0,0.0,115.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,32.0,0.0,114.0
1,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,207.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,117.0,0.0,34.0,0.0,46.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
2,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,207.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,114.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,127.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
3,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,207.0,0.0,242.0,0.0,238.0,0.0,66.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,114.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,311.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
4,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,207.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,114.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,79.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
5,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,112.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,114.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,68.0,0.0,34.0,0.0,114.0
6,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,207.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,35.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
7,0.0,243.0,0.0,211.0,0.0,206.0,0.0,110.0,0.0,178.0,0.0,204.0,0.0,242.0,0.0,238.0,0.0,207.0,0.0,149.0,0.0,150.0,0.0,114.0,0.0,114.0,0.0,34.0,0.0,149.0,0.0,20.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,12.0,0.0,273.0,0.0,273.0,0.0,240.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
8,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,238.0,0.0,245.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
9,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,149.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
10,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
11,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,114.0
12,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,205.0,0.0,207.0,0.0,173.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,76.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,311.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
13,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
