,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,15.0,0.0,10.0,0.0,40.0,0.0,10.0,0.0,368.0,0.0,104.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,136.0,0.0,5.0,0.0,5.0,0.0,44.0,0.0,0.0
1,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,83.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,296.0,0.0,89.0,0.0,15.0,0.0,40.0,0.0,10.0,0.0,35.0,0.0,10.0,0.0,23.0,0.0,15.0,0.0,177.0,0.0,30.0,0.0,644.0,0.0,15.0,0.0,0.0,0.0,184.0,0.0,50.0,0.0,59.0,0.0,5.0,0.0,44.0,0.0,0.0
2,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,0.0,0.0,178.0,0.0,15.0,0.0,25.0,0.0,184.0,0.0,267.0,0.0,10.0,0.0,178.0,0.0,736.0,0.0,124.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,44.0,0.0,0.0
3,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,0.0,0.0,15.0,0.0,476.0,0.0,460.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,15.0,0.0,5.0,0.0,89.0,0.0,64.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,92.0,0.0,5.0,0.0,40.0,0.0,0.0
4,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,890.0,0.0,15.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,276.0,0.0,325.0,0.0,0.0,0.0,29.0,0.0,78.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
5,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,15.0,0.0,92.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,44.0,0.0,0.0
6,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,258.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,15.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,42.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,53.0,0.0,0.0
7,0.0,581.0,0.0,356.0,0.0,370.0,0.0,498.0,0.0,83.0,0.0,581.0,0.0,50.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,15.0,0.0,10.0,0.0,154.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,130.0,0.0,44.0,0.0,5.0,0.0,44.0,0.0,92.0
8,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,10.0,0.0,88.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,141.0,0.0,0.0,0.0,40.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,44.0,0.0,89.0
9,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,332.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,356.0,0.0,0.0,0.0,150.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,44.0,0.0,0.0
