,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,172.0,0.0,136.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,92.0,0.0,828.0,0.0,534.0
1,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
2,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,142.0,0.0,89.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,276.0,0.0,828.0,0.0,712.0
3,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
4,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,204.0,0.0,0.0,0.0,332.0,0.0,828.0,0.0,534.0
5,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
6,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,178.0,0.0,92.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
7,0.0,89.0,0.0,0.0,0.0,204.0,0.0,946.0,0.0,344.0,0.0,946.0,0.0,828.0,0.0,0.0,0.0,87.0,0.0,552.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
8,0.0,89.0,0.0,460.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,0.0,0.0,178.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
9,0.0,89.0,0.0,0.0,0.0,184.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,0.0,0.0,89.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
10,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,0.0,0.0,178.0,0.0,272.0,0.0,712.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
11,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,92.0,0.0,534.0
12,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,92.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,136.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
13,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,368.0,0.0,0.0,0.0,178.0,0.0,276.0,0.0,136.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
14,0.0,89.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,946.0,0.0,688.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,204.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
15,0.0,89.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,946.0,0.0,946.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,344.0,0.0,148.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,534.0
