,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,92.0,368.0,1000.0,368.0,26.0,368.0,14.0,368.0,30.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,368.0,368.0,368.0,368.0,747.0,368.0,747.0,368.0,184.0,368.0,600.0,368.0,350.0,368.0,962.0,368.0,368.0,368.0,368.0,368.0,22.0
1,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,0.0,368.0,552.0,368.0,184.0,368.0,801.0,368.0,22.0,368.0,22.0,368.0,30.0,368.0,30.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,368.0,368.0,368.0,368.0,747.0,368.0,415.0,368.0,184.0,368.0,600.0,368.0,600.0,368.0,0.0,368.0,368.0,368.0,368.0,368.0,22.0
2,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,100.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,92.0,368.0,22.0,368.0,22.0,368.0,30.0,368.0,30.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,368.0,368.0,368.0,368.0,415.0,368.0,166.0,368.0,184.0,368.0,600.0,368.0,172.0,368.0,30.0,368.0,368.0,368.0,552.0,368.0,68.0
3,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,370.0,368.0,89.0,368.0,356.0,368.0,332.0,368.0,600.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,0.0,368.0,22.0,368.0,22.0,368.0,30.0,368.0,845.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,368.0,368.0,368.0,368.0,644.0,368.0,747.0,368.0,184.0,368.0,600.0,368.0,222.0,368.0,30.0,368.0,368.0,368.0,368.0,368.0,22.0
4,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,12.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,92.0,368.0,8.0,368.0,0.0,368.0,22.0,368.0,4.0,368.0,30.0,368.0,6.0,368.0,0.0,368.0,368.0,368.0,184.0,368.0,747.0,368.0,747.0,368.0,184.0,368.0,0.0,368.0,564.0,368.0,30.0,368.0,460.0,368.0,368.0,368.0,22.0
5,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,500.0,368.0,92.0,368.0,184.0,368.0,92.0,368.0,22.0,368.0,98.0,368.0,30.0,368.0,0.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,368.0,368.0,368.0,368.0,747.0,368.0,747.0,368.0,184.0,368.0,600.0,368.0,0.0,368.0,30.0,368.0,368.0,368.0,368.0,368.0,22.0
6,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,92.0,368.0,22.0,368.0,22.0,368.0,30.0,368.0,30.0,368.0,30.0,368.0,250.0,368.0,6.0,368.0,552.0,368.0,368.0,368.0,747.0,368.0,430.0,368.0,184.0,368.0,600.0,368.0,0.0,368.0,30.0,368.0,368.0,368.0,368.0,368.0,22.0
7,368.0,801.0,368.0,712.0,368.0,498.0,368.0,22.0,368.0,30.0,368.0,6.0,368.0,600.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,92.0,368.0,22.0,368.0,22.0,368.0,30.0,368.0,30.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,0.0,368.0,368.0,368.0,747.0,368.0,747.0,368.0,184.0,368.0,600.0,368.0,600.0,368.0,26.0,368.0,276.0,368.0,368.0,368.0,22.0
8,368.0,801.0,368.0,712.0,368.0,368.0,368.0,4.0,368.0,6.0,368.0,6.0,368.0,6.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,600.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,92.0,368.0,22.0,368.0,616.0,368.0,30.0,368.0,30.0,368.0,30.0,368.0,6.0,368.0,6.0,368.0,276.0,368.0,368.0,368.0,332.0,368.0,747.0,368.0,184.0,368.0,350.0,368.0,600.0,368.0,30.0,368.0,368.0,368.0,368.0,368.0,22.0
9,368.0,801.0,368.0,712.0,368.0,368.0,368.0,6.0,368.0,4.0,368.0,6.0,368.0,6.0,368.0,6.0,368.0,89.0,368.0,801.0,368.0,498.0,368.0,0.0,368.0,600.0,368.0,600.0,368.0,552.0,368.0,184.0,368.0,1288.0,368.0,22.0,368.0,22.0,368.0,0.0,368.0,255.0,368.0,30.0,368.0,6.0,368.0,16.0,368.0,368.0,368.0,368.0,368.0,747.0,368.0,747.0,368.0,184.0,368.0,600.0,368.0,0.0,368.0,1335.0,368.0,368.0,368.0,368.0,368.0,22.0
