,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,182.0,368.0,8.0,368.0,364.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,0.0,368.0,208.0,368.0,182.0,368.0,0.0,368.0,213.0,368.0,213.0,368.0,0.0,368.0,368.0,368.0,552.0
1,368.0,267.0,368.0,623.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,260.0,368.0,8.0,368.0,104.0,368.0,368.0,368.0,368.0,368.0,89.0,368.0,8.0,368.0,8.0,368.0,10.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,0.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
2,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,182.0,368.0,8.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,89.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,182.0,368.0,208.0,368.0,208.0,368.0,476.0,368.0,368.0,368.0,276.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
3,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,182.0,368.0,8.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,130.0,368.0,208.0,368.0,644.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
4,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,156.0,368.0,8.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,356.0,368.0,208.0,368.0,208.0,368.0,52.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,184.0,368.0,184.0,368.0,552.0
5,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,182.0,368.0,8.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,89.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
6,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,156.0,368.0,8.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,2.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,148.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,92.0,368.0,368.0,368.0,552.0
7,368.0,267.0,368.0,801.0,368.0,182.0,368.0,213.0,368.0,208.0,368.0,182.0,368.0,8.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,80.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,234.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,0.0,368.0,368.0,368.0,368.0,368.0,92.0
8,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,0.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
9,368.0,267.0,368.0,801.0,368.0,623.0,368.0,286.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,92.0,368.0,0.0,368.0,368.0,368.0,712.0,368.0,26.0,368.0,208.0,368.0,736.0,368.0,280.0,368.0,0.0,368.0,276.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
10,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,276.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,0.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,276.0,368.0,368.0,368.0,552.0
