,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,222.0,0.0,161.0,0.0,161.0,0.0,78.0,0.0,50.0,0.0,222.0,0.0,0.0,0.0,89.0,0.0,1012.0,0.0,12.0,0.0,12.0,0.0,12.0
1,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,14.0,0.0,50.0,0.0,460.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
2,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,184.0,0.0,222.0,0.0,161.0,0.0,182.0,0.0,78.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,0.0
3,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,222.0,0.0,161.0,0.0,0.0,0.0,52.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,354.0
4,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,222.0,0.0,161.0,0.0,161.0,0.0,148.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
5,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,148.0,0.0,222.0,0.0,161.0,0.0,161.0,0.0,78.0,0.0,50.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0
6,0.0,12.0,0.0,178.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,184.0,0.0,222.0,0.0,222.0,0.0,161.0,0.0,161.0,0.0,78.0,0.0,276.0,0.0,368.0,0.0,0.0,0.0,89.0,0.0,430.0,0.0,0.0,0.0,12.0,0.0,12.0
7,0.0,12.0,0.0,267.0,0.0,161.0,0.0,300.0,0.0,50.0,0.0,12.0,0.0,222.0,0.0,12.0,0.0,368.0,0.0,266.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,78.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,460.0,0.0,12.0,0.0,12.0,0.0,12.0
8,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,89.0,0.0,222.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,89.0
9,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,300.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,0.0,0.0,222.0,0.0,161.0,0.0,161.0,0.0,92.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,92.0,0.0,12.0,0.0,12.0,0.0,12.0
10,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,148.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
11,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,74.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,276.0,0.0,12.0,0.0,12.0,0.0,12.0
12,0.0,12.0,0.0,534.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,50.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,552.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
13,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,430.0,0.0,12.0,0.0,12.0,0.0,12.0
14,0.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,150.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0
15,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,10.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,148.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,92.0
16,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,497.0,0.0,161.0,0.0,69.0,0.0,552.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
17,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,29.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,0.0
18,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,4.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,222.0,0.0,104.0,0.0,12.0
19,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,10.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
20,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,6.0
21,0.0,12.0,0.0,178.0,0.0,12.0,0.0,4.0,0.0,10.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
22,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,230.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,12.0
23,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,368.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,0.0,0.0,368.0,0.0,89.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0
24,0.0,12.0,0.0,178.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,184.0,0.0,368.0,0.0,222.0,0.0,92.0,0.0,161.0,0.0,161.0,0.0,161.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,222.0,0.0,12.0,0.0,12.0,0.0,0.0
