,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,552.0,534.0,552.0,368.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,178.0,552.0,693.0,552.0,552.0,552.0,534.0,552.0,276.0,552.0,1020.0,552.0,0.0,552.0,518.0,552.0,204.0,552.0,748.0,552.0,136.0,552.0,712.0,552.0,284.0,552.0,552.0,552.0,0.0,552.0,184.0
1,552.0,534.0,552.0,368.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,460.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,552.0,552.0,552.0,552.0,356.0,552.0,136.0,552.0,0.0,552.0,408.0,552.0,539.0,552.0,748.0,552.0,666.0,552.0,267.0,552.0,284.0,552.0,644.0,552.0,0.0,552.0,184.0
2,552.0,534.0,552.0,368.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,552.0,552.0,534.0,552.0,552.0,552.0,204.0,552.0,390.0,552.0,585.0,552.0,0.0,552.0,476.0,552.0,136.0,552.0,267.0,552.0,284.0,552.0,552.0,552.0,0.0,552.0,184.0
3,552.0,534.0,552.0,368.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,356.0,552.0,539.0,552.0,92.0,552.0,516.0,552.0,276.0,552.0,0.0,552.0,0.0,552.0,644.0,552.0,644.0,552.0,748.0,552.0,136.0,552.0,178.0,552.0,284.0,552.0,534.0,552.0,0.0,552.0,276.0
4,552.0,534.0,552.0,368.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,77.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,92.0,552.0,184.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,552.0,552.0,534.0,552.0,816.0,552.0,816.0,552.0,830.0,552.0,204.0,552.0,0.0,552.0,748.0,552.0,136.0,552.0,267.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,184.0
5,552.0,534.0,552.0,736.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,368.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,552.0,552.0,534.0,552.0,204.0,552.0,0.0,552.0,136.0,552.0,408.0,552.0,0.0,552.0,748.0,552.0,136.0,552.0,1691.0,552.0,284.0,552.0,1472.0,552.0,0.0,552.0,184.0
6,552.0,534.0,552.0,368.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,356.0,552.0,539.0,552.0,552.0,552.0,534.0,552.0,370.0,552.0,0.0,552.0,112.0,552.0,680.0,552.0,68.0,552.0,748.0,552.0,136.0,552.0,267.0,552.0,284.0,552.0,552.0,552.0,0.0,552.0,184.0
7,552.0,534.0,552.0,0.0,552.0,462.0,552.0,267.0,552.0,385.0,552.0,462.0,552.0,284.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,1472.0,552.0,644.0,552.0,712.0,552.0,178.0,552.0,385.0,552.0,552.0,552.0,534.0,552.0,204.0,552.0,92.0,552.0,204.0,552.0,0.0,552.0,712.0,552.0,748.0,552.0,136.0,552.0,184.0,552.0,284.0,552.0,178.0,552.0,0.0,552.0,1012.0
8,552.0,534.0,552.0,368.0,552.0,552.0,552.0,552.0,552.0,462.0,552.0,462.0,552.0,355.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,318.0,552.0,212.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,552.0,552.0,0.0,552.0,184.0,552.0,0.0,552.0,952.0,552.0,736.0,552.0,222.0,552.0,748.0,552.0,476.0,552.0,0.0,552.0,284.0,552.0,0.0,552.0,0.0,552.0,184.0
9,552.0,534.0,552.0,368.0,552.0,552.0,552.0,552.0,552.0,462.0,552.0,462.0,552.0,355.0,552.0,355.0,552.0,0.0,552.0,552.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,0.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,552.0,552.0,534.0,552.0,680.0,552.0,0.0,552.0,0.0,552.0,92.0,552.0,92.0,552.0,0.0,552.0,68.0,552.0,267.0,552.0,284.0,552.0,623.0,552.0,136.0,552.0,184.0
10,552.0,534.0,552.0,368.0,552.0,552.0,552.0,552.0,552.0,385.0,552.0,462.0,552.0,355.0,552.0,426.0,552.0,276.0,552.0,644.0,552.0,318.0,552.0,318.0,552.0,0.0,552.0,184.0,552.0,712.0,552.0,178.0,552.0,539.0,552.0,920.0,552.0,534.0,552.0,0.0,552.0,368.0,552.0,0.0,552.0,68.0,552.0,0.0,552.0,748.0,552.0,136.0,552.0,267.0,552.0,284.0,552.0,460.0,552.0,136.0,552.0,184.0
11,552.0,534.0,552.0,368.0,552.0,276.0,552.0,552.0,552.0,462.0,552.0,462.0,552.0,355.0,552.0,355.0,552.0,276.0,552.0,552.0,552.0,212.0,552.0,318.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,480.0,552.0,539.0,552.0,552.0,552.0,534.0,552.0,736.0,552.0,415.0,552.0,0.0,552.0,204.0,552.0,0.0,552.0,748.0,552.0,0.0,552.0,267.0,552.0,284.0,552.0,460.0,552.0,204.0,552.0,184.0
