,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,83.0,92.0,249.0,92.0,0.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,462.0,92.0,0.0,92.0,92.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
1,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,0.0,92.0,249.0,92.0,0.0,92.0,640.0,92.0,640.0,92.0,160.0,92.0,249.0,92.0,276.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,800.0,92.0,92.0,92.0,92.0
2,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,83.0,92.0,249.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,228.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
3,92.0,801.0,92.0,1335.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,166.0,92.0,249.0,92.0,0.0,92.0,640.0,92.0,640.0,92.0,160.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,320.0,92.0,0.0,92.0,92.0,92.0,92.0
4,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,83.0,92.0,249.0,92.0,172.0,92.0,640.0,92.0,640.0,92.0,0.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,368.0,92.0,77.0
5,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,83.0,92.0,249.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,32.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
6,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,83.0,92.0,249.0,92.0,89.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,276.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,0.0
7,92.0,801.0,92.0,534.0,92.0,712.0,92.0,640.0,92.0,83.0,92.0,83.0,92.0,249.0,92.0,86.0,92.0,960.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,2.0,92.0,300.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,276.0,92.0,92.0
8,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,276.0,92.0,920.0,92.0,184.0,92.0,1012.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
9,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,184.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,0.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,276.0,92.0,0.0,92.0,89.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
