,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0.0,240.0,0.0,342.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,307.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,307.0,0.0,307.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
1,0.0,240.0,0.0,342.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,307.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,343.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,143.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
2,0.0,240.0,0.0,342.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,307.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,40.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,212.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,99.0,0.0,0.0
3,0.0,240.0,0.0,274.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,307.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,307.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,36.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
4,0.0,240.0,0.0,274.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,307.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,307.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
5,0.0,240.0,0.0,274.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,307.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,307.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
6,0.0,240.0,0.0,274.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,342.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,307.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
7,0.0,240.0,0.0,274.0,0.0,46.0,0.0,71.0,0.0,8.0,0.0,314.0,0.0,178.0,0.0,27.0,0.0,342.0,0.0,248.0,0.0,307.0,0.0,307.0,0.0,313.0,0.0,167.0,0.0,307.0,0.0,0.0,0.0,109.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
8,0.0,240.0,0.0,274.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,207.0,0.0,307.0,0.0,167.0,0.0,307.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,1.0,0.0,75.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
9,0.0,240.0,0.0,274.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,167.0,0.0,234.0,0.0,0.0,0.0,104.0,0.0,38.0,0.0,38.0,0.0,1.0,0.0,2.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
